,node,cosit,siteId,name,addrs,parameters,lat,lng
35,NRA,000000001070,NRA_000000001070,TMU N07 001.0 E,"N07 Between Jn01 M50 and Jn1a Newlands Cross (R113), Dublin",category=Other National Primary,53.31607,-6.37874
36,NRA,000000001071,NRA_000000001071,TMU N07 005.0 E,"N07 Between Jn02 Kingswood and Jn03 Citywest, Kingswood, Co. Dublin",category=Other National Primary,53.29789,-6.42507
37,NRA,000000001072,NRA_000000001072,TMU N07 000.0 W,"N07 Between Jn01a Newlands Cross and Jn02 Kingswood, Co. Dublin",category=Other National Primary,53.30487,-6.41113
38,NRA,000000001073,NRA_000000001073,TMU N07 006.0 E,"N07 between Jn 4 & Jn 3 at EB VMS Citywest, Co. Dublin",category=Other National Primary,53.29027,-6.44723
39,NRA,000000001076,NRA_000000001076,TMU M07 031.0 W,"M07 Between Jn10 Naas South and Jn11 M7/M9, Lewistown, Co. Kildare",directionality=Wcategory=Motorway National Primary,53.18341,-6.7355
40,NRA,000000001081,NRA_000000001081,TMU N08 150.0 S,"N08 Between Dunkettle Interchange and Cork City, Tivoli, Co. Cork",category=Other National Primary,51.90461,-8.41296
41,NRA,000000001085,NRA_000000001085,TMU M08 090.0N,"M08 Between Jn 12 & Jn 11  Skeheenarinky, Co Tipperary",category=Motorway National Primary,52.31214,-8.14263
42,NRA,000000001086,NRA_000000001086,TMU M08 100.0 S,"M08 Between Jn12 Mitchelstown (North) and Jn13 Mitchelstown (South), Co. Cork",nohtmlexport=1category=Motorway National Primary,52.27027,-8.23993
43,NRA,000000001090,NRA_000000001090,TMU M09 006.0 N,"M09 Between M9 Jn2 Kilcullen and M7 Jn 11,Knockbounce Kilcullen Co Kildare ",category=Motorway National Primary,53.12724,-6.76141
44,NRA,000000001092,NRA_000000001092,TMU M9 049.0 N,"M9 between J6 and J5, Carlow Bypass Ballybar Upper Co Carlow,",category=Motorway National Primary,52.79029,-6.90719
45,NRA,000000001101,NRA_000000001101,TMU N10 015.0 N,"N10 Between Kilkenny City and M09 Jn09 Kilkenny (South), Grevine, Co. Kilkenny",category=Other National Primary,52.61042,-7.24455
46,NRA,000000001102,NRA_000000001102,TMU R712 010.0 E,"R712 Between Kilkenny and Paulstown, Brickana, Co. Kilkenny",category=Other,52.64823,-7.0998
47,NRA,000000001111,NRA_000000001111,TMU N11 110.0 S,"N11 Between N11/N80 Jn and Enniscorthy, Clavass, Co. Wexford",category=Other National Primary,52.53752,-6.55295
48,NRA,000000001112,NRA_000000001112,TMU N11 120.0 N,"N11 Between Ferrycarrig and Oilgate, Co. Wexford",category=Other National Primary,52.3956,-6.5198
49,NRA,000000001113,NRA_000000001113,TMU M11 010.0 N,"M11 Between M50/M11 and Bray North Jn, Bray, Co. Dublin",category=Motorway National Primary,53.22208,-6.12913
50,NRA,000000001114,NRA_000000001114,TMU N11 030.0 S,"N11 Between Jn13 and Jn14, Nth Coynes Cross, Timore Co Wicklow",category=Other National Primary,53.05928,-6.09258
51,NRA,000000001121,NRA_000000001121,TMU N12 000.0 N,"N12 Armagh Road, Between N02 and R213",category=Other National Primary,54.26738,-6.92463
52,NRA,000000001131,NRA_000000001131,TMU N13 040.0 S,"N13 Between Bridgend and Burnfoot, Co. Donegal",category=Other National Primary,55.04278,-7.3897
53,NRA,000000001132,NRA_000000001132,TMU N13 020.0 S,"N13 Between Letterkenny and Lifford, Rossbracken, Co. Donegal",category=Other National Primary,54.94666,-7.64555
54,NRA,000000001133,NRA_000000001133,TMU N13 010.0 N,"N13 Between Stranorlar and Letterkenny, Treantaboy, Co. Donegal",category=Other National Primary,54.87773,-7.74265
55,NRA,000000001141,NRA_000000001141,TMU N14 020.0 N,"N14 Between Lifford and Letterkenny, Drumbuoy, Co. Donegal",category=Other National Primary,54.8402,-7.49488
56,NRA,000000001151,NRA_000000001151,TMU N15 000.0 S,"N15 Lifford to Castlefinn, Inchenagh, Co. Donegal",category=Other National Primary,54.81215,-7.52054
57,NRA,000000001161,NRA_000000001161,TMU N16 040.0 E,"N16 Between Enniskillen and Sligo, McNean Court, Co. Sligo",category=Other National Primary,54.28701,-7.91383
58,NRA,000000001169,NRA_000000001169,TMU N16 002.5 E,"N16 East Between Glencar and Sligo Town, Barroe, Co Sligo.",category=Other National Primary,54.28232,-8.44722
59,NRA,000000001171,NRA_000000001171,TMU N17 080.0 N,"N17 Between Tuam and Claremorris, Kilcloony, Co. Galway",category=Other National Primary,53.59072,-8.86696
60,NRA,000000001172,NRA_000000001172,TMU N17 050.0 S,"N17 Between Charlestown and Knock, Ballinacostelo, Co. Mayo",category=Other National Primary,53.82623,-8.87827
61,NRA,000000001173,NRA_000000001173,TMU N17 030.0 S,"N17 Between Tobercurry and Charlestown, Co. Sligo",category=Other National Primary,53.99517,-8.77674
62,NRA,000000001182,NRA_000000001182,TMU N18 020.0 N,"N18 Between Kilcolgan and Clarinbridge, Co. Galway",category=Other National Primary,53.21657,-8.87203
63,NRA,000000001191,NRA_000000001191,TMU N19 001.5 S,"N19 Between R472 and Drumgeely roundabout, Ballymurtagh Co Clare.",category=Other National Primary,52.71266,-8.88556
64,NRA,000000001201,NRA_000000001201,TMU N20 050.0 N,"N20 Between Buttevant and Charleville, Co. Cork",category=Other National Primary,52.28539,-8.6792
65,NRA,000000001202,NRA_000000001202,TMU N20 065.0 N,"N20  Between Charleville and R518, Rockhill Co Limerick.",category=Other National Primary,52.41904,-8.68795
66,NRA,000000001211,NRA_000000001211,TMU N21 070.0 S,"N21 Between Tralee and Castleisland, Co. Kerry",category=Other National Primary,52.23983,-9.5002
67,NRA,000000001221,NRA_000000001221,TMU N22 000.0 E,"N22 Carrigrohane to Cork City, Western Road, Co. Cork",category=Other National Primary,51.894,-8.51757
68,NRA,000000001222,NRA_000000001222,TMU N22 070.0 E,"N22 Between Killarney and N22/R569 Jn, Islandmore, Co. Kerry",category=Other National Primary,52.00281,-9.34443
69,NRA,000000001223,NRA_000000001223,TMU N22 090.0 W,"N22 Killarney Northern Ring Road, Killarney, Co. Kerry",category=Other National Primary,52.06633,-9.49473
70,NRA,000000001224,NRA_000000001224,TMU N22 023.5 W,"N22 Between Lissarda and Macroom, Ballytrasna Co. Cork",category=Other National Primary,51.86617,-8.89424
71,NRA,000000001225,NRA_000000001225,TMU N22 116.0 W,N22 Between N21 and N22 Roundabouts Tralee Ring Road Co. Kerry,category=Other National Primary,52.26075,-9.66225
72,NRA,000000001241,NRA_000000001241,TMU N24 040.0 E,"N24 Between Bansha and Tipperary Town, Co. Tipperary",category=Other National Primary,52.46585,-8.14078
73,NRA,000000001242,NRA_000000001242,TMU N24 080.0 W,"N24 Between Carrick-on-Suir and Clonmel, Killaloan, Co. Tipperary",category=Other National Primary,52.3649,-7.62675
74,NRA,000000001243,NRA_000000001243,TMU N24 100.0 E,"N24 Between Carrick-on-Suir and Waterford, Piltown, Co. Kilkenny",category=Other National Primary,52.34572,-7.33316
75,NRA,000000001251,NRA_000000001251,TMU N25 090.0 W,"N25 Between Waterford City and Dungarvan, Kilmacthomas, Co. Waterford",category=Other National Primary,52.21471,-7.38732
76,NRA,000000001252,NRA_000000001252,TMU N25 020.0 W,"N25 Between Castlemartyer and Midelton, Co. Cork",category=other national primarystate=2,51.9151,-8.10629
77,NRA,000000001253,NRA_000000001253,TMU N40 010.0 E,"N40 Between Kinsale Road and Douglas Interchange, South Ring Road, Togher, Co. Cork",category=Other National Primary,51.87488,-8.44783
78,NRA,000000001254,NRA_000000001254,TMU N25 032.0 W,"N25 Between Killeagh and Youghal, Burgess Lower,  Co Cork",category=Other National Primary,51.93843,-7.96844
79,NRA,000000001255,NRA_000000001255,TMU N40 000.0 W,"N40 Between Ballinora and Curraheen, South Ring Road, Bishopstown, Co. Cork",category=Other National Primary,51.87636,-8.56072
80,NRA,000000001256,NRA_000000001256,TMU N40 015.0 W,"N40 Between Jack Lynch Tunnel and Mahon Jn, South Ring Road, Mahon, Co. Cork",category=Other National Primary,51.88825,-8.39061
81,NRA,000000001258,NRA_000000001258,TMU N40 010.0 W,"N25 West of Mahon Interchange, between Mahon and Bloomfield Interchange",category=Other National Primary,51.88229,-8.4076
82,NRA,000000001261,NRA_000000001261,TMU N26 020.0 N,"N26 Between Foxford and Ballina, Drumrevagh, Co. Mayo",category=Other National Primary,54.0614,-9.1522
83,NRA,000000001271,NRA_000000001271,TMU N27 000.0 N,"N27 Between Cork Airport and Cork, Ballycurreen, Co. Cork",category=Other National Primary,51.86242,-8.47908
84,NRA,000000001281,NRA_000000001281,TMU N28 004.0 E,"N28 Between Cork City and Carrigaline, Carrs Hill, Co. Cork",category=Other National Primary,51.85085,-8.41577
85,NRA,000000001282,NRA_000000001282,TMU N28 008.0 W,"N28 Between  Ringaskiddy and Shannonpark Roundabout, Raffeen Co Cork",category=Other National Primary,51.83324,-8.3666
86,NRA,000000001283,NRA_000000001283,TMU N28 001.0 S,"N28 Between N40 & Rochestown, Co Cork",category=Other National Primary,51.87578,-8.41266
87,NRA,000000001291,NRA_000000001291,TMU N29 001.5 N,"N29 Between Slieverue and Belview Port, Rathpatrick Co.Kilkenny",category=Other National Primary,52.27999,-7.05951
88,NRA,000000001301,NRA_000000001301,TMU N30 003.0 E,"N30 Between Scarawalsh Roundabout  (N30/N80) and M11 Jn25 Enniscorthy, Co. Wexford ",category=Other National Primary,52.5335,-6.54532
89,NRA,000000001302,NRA_000000001302,TMU N30 006.0 E,"N30 Between N30/N80 Scarawalsh Roundabout and N30/R702 Roundabout, Co. Wexford",category=Other National Primary,52.534,-6.56916
90,NRA,000000001303,NRA_000000001303,TMU N30 012.0 E,"N30 Between N30/R744 Roundabout and N30/N702 Roundabout, Co. Wexford",category=Other National Primary,52.49435,-6.62355
91,NRA,000000001311,NRA_000000001311,TMU N31 005.0 E,"N31 Between Stillorgan Road and Rock Road, Blackrock, Co. Dublin",category=Other National Primary,53.30009,-6.19153
92,NRA,000000001312,NRA_000000001312,TMU N31 000.0 E,"N31 Brewery Road, Leopardstown, Co. Dublin",category=Other National Primary,53.27846,-6.19821
93,NRA,000000001331,NRA_000000001331,TMU N33 000.0 E,"N33 Between Ardee and M01, Richardstown, Co. Louth",category=Other National Primary,53.85822,-6.46027
94,NRA,000000001401,NRA_000000001401,TMU N40 005.0 W,"N40 Between J9 and J6, South Ring Road, Cork.",category=Other National Primary,51.87942,-8.43249
95,NRA,000000001403,NRA_000000001403,TMU N40 005.5 W,"N40 Between Jn 4 Sarsfield Road and Jn 5 Togher, Cork",category=Other National Primary,51.87619,-8.49964
96,NRA,000000001404,NRA_000000001404,TMU N40 004.5 W,"N40 Between Jn 4 Sarsfield and Bandon Road  N71, Cork",category=Other National Primary,51.87567,-8.51047
97,NRA,000000001405,NRA_000000001405,TMU N40 002.5 E,"N40 Between Jn 2 Curraheen and Jn 3 Wilton, Cork",category=Other National Primary,51.87281,-8.53436
98,NRA,000000001500,NRA_000000001500,TMU M50 001.7N,"M50 Between Jn3 M50/M01 and Jn04 Ballymun, Ballymun, Co. Dublin",category=Motorway National Primary,53.41046,-6.23701
99,NRA,000000001501,NRA_000000001501,TMU M50 005.0 N,"M50 Between Jn05 N02/M50 and Jn04 Ballymun, Finglas, Co. Dublin",category=Motorway National Primary,53.40816,-6.28956
100,NRA,000000001502,NRA_000000001502,TMU M50 010.0 N,"M50 Between Jn06 N03/M50 and Jn05 N02/M50, Finglas, Co. Dublin",category=Motorway National Primary,53.39524,-6.33667
101,NRA,000000001503,NRA_000000001503,TMU M50 020.0 N,"M50 Between Jn07 N04/M50 and Jn09 N07/M50 Red Cow, Palmerstown, Co. Dublin",category=Motorway National Primary,53.34553,-6.38715
102,NRA,000000001504,NRA_000000001504,TMU M50 025.0 S,"M50 Between Jn10 - Ballymount and Jn11 - Tymon, Co. Dublin",category=Motorway National Primary,53.30004,-6.33826
103,NRA,000000001505,NRA_000000001505,TMU M50 025.0 N,"M50 Between Jn11 Tallaght and Jn12 Firhouse, Co. Dublin",category=Motorway National Primary,53.28384,-6.32733
104,NRA,000000001506,NRA_000000001506,TMU M50 030.0 S,"M50 Between Jn12 Firhouse and Jn13 Dundrum, Balinteer, Co. Dublin",category=Motorway National Primary,53.26676,-6.28236
105,NRA,000000001507,NRA_000000001507,TMU M50 035.0 S,"M50 Between Jn13 Dundrum and Jn14 Dun Laoghaire, Sandyford, Co. Dublin",category=Motorway National Primary,53.27188,-6.23799
106,NRA,000000001508,NRA_000000001508,TMU M50 015.0 S,"M50 Between Jn06 N03/M50 and Jn07 N04/M50, Castleknock, Co. Dublin",category=Motorway National Primary,53.37088,-6.37571
107,NRA,000000001509,NRA_000000001509,"TMU M50 015.0 N ""DATA ADVISEMENT""","M50 Between Jn09 N07/M50 Red Cow and Jn10 Ballymount, Ballymount, Co. Dublin",category=Motorway National Primary,53.31346,-6.36333
108,NRA,000000001511,NRA_000000001511,TMU N51 040.0 E,"N51 Between Athboy and Navan, Rathmore, Co. Meath",category=National Secondary,53.64438,-6.87564
109,NRA,000000001512,NRA_000000001512,TMU N51 48.0 E,"N51 Between Slane and M1 Jn10, Littlegrange Co Louth",category=National Secondary,53.71673,-6.46331
110,NRA,000000001521,NRA_000000001521,TMU N52 100.0 W,"N52 Between Mullingar and Tyrrellspass, Marlinstown, Co. Westmeath",category=National Secondary,53.51075,-7.31134
111,NRA,000000001522,NRA_000000001522,TMU N52 040.0 W,"N52 Between Kells and Ardee, Glebe, Co. Meath",category=National Secondary,53.80577,-6.66862
112,NRA,000000001523,NRA_000000001523,TMU N52 150.0 E,"N52 Between Birr and Kilcormac, Kilcormac, Co. Offaly",category=National Secondary,53.17023,-7.74721
113,NRA,000000001524,NRA_000000001524,TMU N52 040.0 E,N52 Between N52/Belvedere and N52/L1122 Ballinagore Junctions,category=National Secondary,53.43972,-7.37307
114,NRA,000000001531,NRA_000000001531,TMU N53 010.0 W,"N53 Between NI Border and Castleblaney, Drumgoose, Co. Monaghan",category=National Secondary,54.08873,-6.69299
115,NRA,000000001541,NRA_000000001541,TMU N54 010.0 W,"N54 Between Smithborough and Clones, Stranagarvey, Co. Monaghan",category=National Secondary,54.21571,-7.1336
116,NRA,000000001542,NRA_000000001542,TMU N54 030.0 E,"N54 Between Butlers Bridge and Clones, Clonoony, Co. Monaghan",category=National Secondary,54.14135,-7.32455
117,NRA,000000001551,NRA_000000001551,TMU N55 050.0 N,"N55 Between Ballymahon and Edgeworthstown, Cartronfin, Co. Longford",category=National Secondary,53.59461,-7.71694
118,NRA,000000001552,NRA_000000001552,TMU N55 020.0 S,"N55 Between Cavan and Granard, Pottlebane, Co. Cavan",category=National Secondary,53.82027,-7.44885
119,NRA,000000001561,NRA_000000001561,TMU N56 005.0 N,"N56 Between Mountcharles & Drimark, Eddrim Glebe, Co Donegal ",category=National Secondary,54.64951,-8.15805
120,NRA,000000001581,NRA_000000001581,TMU N58 010.0 N,"N58 Between Ballylahan and Foxford, Co. Mayo",nohtmlexport=1category=National Secondary,53.94213,-9.10458
121,NRA,000000001591,NRA_000000001591,TMU N59 280.0 S,"N59 Between Oughterard and Moycullen, Knockaunranny, Co. Galway",category=National Secondary,53.37186,-9.23635
122,NRA,000000001592,NRA_000000001592,TMU N59 070.0 S,"N59 Between Crossmolina and Bangor-Erris, Moylaw, Co. Mayo",category=National Secondary,54.09502,-9.37759
123,NRA,000000001593,NRA_000000001593,TMU N59 040.0 S,"N59 Between Sligo and Ballina, Corbally, Co. Mayo",category=National Secondary,54.1694,-9.06317
124,NRA,000000001594,NRA_000000001594,TMU N59 220.0W,"N59 Between Recess and Clifden, Co. Galway",category=National Secondary,53.48197,-9.96509
125,NRA,000000001601,NRA_000000001601,TMU N60 050.0 W,"N60 Between Claremorris and Ballyhaunis, Holywell, Co. Mayo",category=National Secondary,53.74323,-8.81516
126,NRA,000000001602,NRA_000000001602,TMU N60 010.0 W,"N60 Between Ballymoe and Roscommon Town, Co. Roscommon",category=National Secondary,53.68234,-8.35652
127,NRA,000000001611,NRA_000000001611,TMU N61 080.0 N,"N61 Between Roscommon Town and Tulsk, Greehill, Co. Roscommon",category=National Secondary,53.67624,-8.19746
128,NRA,000000001621,NRA_000000001621,TMU N62 050.0 S,"N62 Between Thurles and M08 Jn06 Thurles, Knockroe Co. Tipperary",category=National Secondary,52.63959,-7.78434
129,NRA,000000001622,NRA_000000001622,TMU N62 080.0 N,"N62 Between Thurles and Templemore, Whitefield, Co. Tipperary",category=National Secondary,52.76747,-7.84399
130,NRA,000000001623,NRA_000000001623,TMU N62 010.0 S,"N62 Between Roscrea and Templemore, Lismakin, Co. Tipperary",category=National Secondary,52.9003,-7.79785
131,NRA,000000001624,NRA_000000001624,TMU N62 100.0 S,"N62 Between Athlone and Ferbane, Ballynahown, Co. Westmeath",category=National Secondary,53.3472,-7.84297
132,NRA,000000001631,NRA_000000001631,TMU N63 080.0 W,"N63 Between Roscommon and Claregalway, Derreen, Co. Roscommon",category=National Secondary,53.44681,-8.71274
133,NRA,000000001632,NRA_000000001632,TMU N63 020.0 W,"N63 Between Lanesborough and Roscommon Town, Cloontimullan, Co. Roscommon",category=National Secondary,53.65583,-8.09816
134,NRA,000000001651,NRA_000000001651,TMU N65 050.0 W,"N65 Between Portumna and Borrisokane, Ballycasey, Co. Tipperary",category=National Secondary,53.01833,-8.12535
135,NRA,000000001661,NRA_000000001661,TMU N66 020.0 W,"N66 Between Loughrea and Gort, Gortaloman, Co. Galway",category=National Secondary,53.1116,-8.75103
136,NRA,000000001671,NRA_000000001671,TMU N67 120.0 E,"N67 Between Kilrush Ferry and Kilrush, Moyne Court, Co. Clare",category=National Secondary,52.62353,-9.46661
137,NRA,000000001679,NRA_000000001679,TMU N67 018.0 S,"N67 Between Ballinderreen and Kinvarra, Pollagh Co Galway.",category=National Secondary,53.17348,-8.9188
138,NRA,000000001681,NRA_000000001681,TMU N68 030.0 E,"N68 Between Ennis and Kilrush, Ballyduneen, Co. Clare",category=National Secondary,52.70957,-9.2641
139,NRA,000000001691,NRA_000000001691,TMU N69 090.0 W,"N69 Between Listowel and Tralee, Knockbrack, Co. Kerry",category=National Secondary,52.33982,-9.62181
140,NRA,000000001692,NRA_000000001692,TMU N69 020.0 W,"N69 Between Askeaton and Foynes, Clondrinagh, Co. Limerick",category=National Secondary,52.60541,-9.00779
141,NRA,000000001693,NRA_000000001693,TMU N69 070.0 W,"N69 Between Listowel and Tarbert, Kylebwee, Co. Kerry",category=National Secondary,52.4662,-9.42912
142,NRA,000000001694,NRA_000000001694,TMU N69 045.0 W,"N69 Between Glin and Loghill, Limerick",category=National Secondary,52.59025,-9.22209
143,NRA,000000001701,NRA_000000001701,TMU N70 010.0 E,"N70 Between Sneem and Kenmare, Templenoe, Co. Kerry",category=National Secondary,51.86732,-9.6781
144,NRA,000000001703,NRA_000000001703,TMU N70 145.0 W,N70 Between N22 and N86 Roundabouts Tralee Ring Road Co Kerry,category=National Secondary,52.25629,-9.68045
145,NRA,000000001711,NRA_000000001711,TMU N71 000.0 E,"N71 Between Innishshannon and Ballyhassig, Southwest of Ballinhassig, Co Cork",category=National Secondary,51.80727,-8.55957
146,NRA,000000001712,NRA_000000001712,TMU N71 010.0 W,"N71 Between Halfway and Inishannon, Co. Cork",category=National Secondary,51.78615,-8.61756
147,NRA,000000001713,NRA_000000001713,TMU N71 040.0 E,"N71 Between Clonakilty and Jones Bridge, Clonakility, Co. Cork",category=National Secondary,51.63637,-8.87287
148,NRA,000000001714,NRA_000000001714,TMU N71 110.0 W,"N71 Between Kenmare and Killarney, Gortamullen, Co. Kerry",category=National Secondary,51.90655,-9.60495
149,NRA,000000001715,NRA_000000001715,TMU N71 190.0 W,"N71 Between Bantry and Glengarriff, North of Bantry, Co. Cork",category=National Secondary,51.70235,-9.44237
150,NRA,000000001716,NRA_000000001716,TMU N71 002.5 N,N71 Between Ballinhassig and N40,category=National Secondary,51.85265,-8.52882
151,NRA,000000001717,NRA_000000001717,TMU N71 091.0 W,"N71 Between Aghadown and Ballydehob, Skeaghanore East Co Cork",category=National Secondary,51.56283,-9.42626
152,NRA,000000001721,NRA_000000001721,TMU N72 010.0 E,"N72 Between Killarney and Kilorglin, East of Beaufort, Co. Kerry",category=National Secondary,52.07486,-9.62142
153,NRA,000000001722,NRA_000000001722,TMU N72 030.0 E,"N72 Between Killarney and Rathmore, Co. Kerry",category=National Secondary,52.05729,-9.36513
154,NRA,000000001723,NRA_000000001723,TMU N72 160.0 W,"N72 Between Dungarvan and Cappoquin, west of R671 Jn, Co. Waterford",category=National Secondary,52.1276,-7.78874
155,NRA,000000001731,NRA_000000001731,TMU N73 010.0 E,"N73 Between Kildorrery and Mallow, South of Ballinamona Cross, Co. Cork",category=national secondary,52.22027,-8.50331
156,NRA,000000001741,NRA_000000001741,TMU N74 010.0 W,"N74 Between Golden and Tipperary Town, West of Golden, Co. Tipperary",category=National Secondary,52.49496,-8.00709
157,NRA,000000001751,NRA_000000001751,TMU N75 000.0 E,"N75 Between Thurles and Twomileborris, Co. Tipperary",category=National Secondary,52.67212,-7.74535
158,NRA,000000001761,NRA_000000001761,TMU N76 020.0 S,"N76 Between Callan and Kilbride, South of Callan, Co. Kilkenny",category=National Secondary,52.53327,-7.40324
159,NRA,000000001771,NRA_000000001771,TMU N77 000.0 S,"N77 North of Ring Road Roundabout, Kilkenny City, Co. Kilkenny",category=National Secondary,52.67886,-7.25369
160,NRA,000000001781,NRA_000000001781,TMU N78 040.0 S,"N78 Between Athy and Castlecomer, Southwest of N78/N80 Jn, Co. Laois",category=National Secondary,52.92147,-7.06349
161,NRA,000000001782,NRA_000000001782,TMU N78 030.0 S,"N78 Between Athy and M09 Jn03 Athy, Ballycullane, Co. Kildare",category=National Secondary,52.98721,-6.92644
