G TIN,Category,Sub Category,Name,Price,Brand,Description,Promotion
5410316965385	,"Beers, Wines and Spirits",Vodka,Smirnoff Raspberry Crush Flavoured Vodka 70cl,£16,Smirnoff,NA,NA
7312040322503	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,Absolut Mixt Blueberry & Lime Mixed Vodka Drink 250ml,£2,Absolut,Sparkling Pre-Mixed Vodka Drink with Blueberry & Lime Flavour,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
7312040322503	,"Beers, Wines and Spirits",Vodka,Absolut Mixt Blueberry & Lime Mixed Vodka Drink 250ml,£2,Absolut,Sparkling Pre-Mixed Vodka Drink with Blueberry & Lime Flavour,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
7312040017355	,"Beers, Wines and Spirits",Vodka,Absolut Original Swedish Vodka 35cl,£9.5,Absolut,Original Swedish Vodka,NA
5010103916738	,"Beers, Wines and Spirits",Vodka,Ciroc Snap Frost Vodka 70cl,£31,Ciroc,NA,NA
5410316442930	,"Beers, Wines and Spirits",Vodka,Smirnoff No. 21 Vodka 1L,£21,Smirnoff,NA,NA
5000128821179	,"Beers, Wines and Spirits",Gin,Co-op Irresistible Limited Edition Tangy & Tropical Pineapple & Coconut Flavoured Gin 50cl,£15,Co-op,Spirit drink with coconut and pineapple flavouring.,NA
5000291025824	,"Beers, Wines and Spirits",Gin,Tanqueray Blackcurrant Royale Gin 70cl,£21,Tanqueray,NA,NA
5000128123099	,"Beers, Wines and Spirits",Gin,Co Op Special London Dry Gin 70cl,£13,Co Op,Special Dry London Gin,NA
5000299605950	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,Beefeater London Pink Strawberry 70cl,£15,Beefeater,Pink Strawberry Flavoured Gin,NA
5000299605950	,"Beers, Wines and Spirits",Gin,Beefeater London Pink Strawberry 70cl,£15,Beefeater,Pink Strawberry Flavoured Gin,NA
5000128700634	,"Occasions, Flowers & Gifting",Gifting,Co Op Irresistible London Dry Gin 70cl,£17.5,Co Op,London Dry Gin,NA
5000128700634	,Get Inspired,Co-op Irresistible Range,Co Op Irresistible London Dry Gin 70cl,£17.5,Co Op,London Dry Gin,NA
5000128700634	,"Beers, Wines and Spirits",Gin,Co Op Irresistible London Dry Gin 70cl,£17.5,Co Op,London Dry Gin,NA
5060204341878	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,Sipsmith Gin and Tonic Light 250ml,£3,Sipsmith,Gin and Tonic Light,NA
5060204341878	,"Beers, Wines and Spirits",Gin,Sipsmith Gin and Tonic Light 250ml,£3,Sipsmith,Gin and Tonic Light,NA
5000289932240	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,"Gordon's Sicilian Lemon Distilled Flavoured Gin, 70cl",£16,Gordon's,NA,NA
5000289932240	,"Beers, Wines and Spirits",Gin,"Gordon's Sicilian Lemon Distilled Flavoured Gin, 70cl",£16,Gordon's,NA,NA
5013967012462	,"Beers, Wines and Spirits",Whisky,Jura Journey Single Malt Scotch Whisky 70cl,£22,Jura,Single Malt Scotch Whisky,NA
5010196091008	,"Beers, Wines and Spirits",Whisky,Jim Beam Kentucky Straight Bourbon Whiskey 70cl,£18.5,Jim Beam,Kentucky Straight Bourbon Whiskey,NA
5000128811453	,"Beers, Wines and Spirits",Whisky,Co Op Irresistible Single Malt Scotch Whisky Aged 12 Years 70cl,£25,Co Op,Single Malt Scotch Whisky,NA
5000387905504	,"Beers, Wines and Spirits",Whisky,"Bell's Blended Scotch Whisky, 1L",£21,Bell's,NA,NA
5010196065061	,"Beers, Wines and Spirits",Whisky,Whyte & Mackay Blended Scotch Whisky 70cl,£16,Whyte & Mackay,Blended Scotch Whisky,NA
5013967013797	,"Beers, Wines and Spirits",Whisky,The Woodsman Blended Scotch Whisky 70cl,£18,The Woodsman,Blended Scotch Whisky,NA
5099873017623	,"Beers, Wines and Spirits",Whisky,Jack Daniel's Tennessee Apple 70 cL,£21,Jack Daniel's,Jack Daniel's Tennessee Whiskey Blended with Apple Liqueur,NA
5000128211871	,"Beers, Wines and Spirits",Whisky,Co Op Blended Scotch Whisky Oak Aged 3 Years 70cl,£13.5,Co Op,"A blend of Scotch Whiskies, matured in oak casks for a fuller flavour.",NA
5000267014203	,"Beers, Wines and Spirits",Whisky,Johnnie Walker Red Label Blended Scotch Whisky 70cl,£16,Johnnie Walker,Blended Scotch Whisky,NA
5000299609347	,"Beers, Wines and Spirits",Whisky,The Glenlivet Founder's Reserve Single Malt Scotch Whisky 70cl,£25,The Glenlivet,Single Malt Scotch Whisky,NA
5010677714006	,"Beers, Wines and Spirits",Gin,Bombay Sapphire Gin 70cl,£22,Bombay Sapphire,Distilled London dry gin,NA
7640175742461	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,Bombay Sapphire Gin & Tonic 250ml,£2.85,Bombay Sapphire,Flavoured Alcoholic Drink (with 16% Gin).,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
7640175742461	,"Beers, Wines and Spirits",Gin,Bombay Sapphire Gin & Tonic 250ml,£2.85,Bombay Sapphire,Flavoured Alcoholic Drink (with 16% Gin).,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5011166055228	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,Whitley Neill Rhubarb & Ginger Gin 70cl,£27,Whitley Neill,Rhubarb & Ginger Gin,NA
5011166055228	,"Beers, Wines and Spirits",Gin,Whitley Neill Rhubarb & Ginger Gin 70cl,£27,Whitley Neill,Rhubarb & Ginger Gin,NA
5010327717029	,"Beers, Wines and Spirits",Gin,Hendrick's Gin Minisculinity 35cl,£17,Hendrick's,Gin Minisculinity,NA
5010296169164	,"Beers, Wines and Spirits",Gin,Brockmans Intensely Smooth Premium Gin 70cl,£34,Brockmans,NA,NA
5000128780247	,Get Inspired,Co-op Irresistible Range,Co-op Irresistible Indulgent Pink Grapefruit & Elderflower Gin Liqueur 50cl,£11,Co-op,Gin Liqueur,NA
5000128780247	,Vegetarian and Vegan,Vegan,Co-op Irresistible Indulgent Pink Grapefruit & Elderflower Gin Liqueur 50cl,£11,Co-op,Gin Liqueur,NA
5000289932509	,"Beers, Wines and Spirits",Whisky,Gordon’s Premium Pink Alochol Free 0.0%,£14.5,Gordon's,NA,NA
5000289932509	,"Beers, Wines and Spirits",No and Low Alcohol,Gordon’s Premium Pink Alochol Free 0.0%,£14.5,Gordon's,NA,NA
5010327105215	,"Beers, Wines and Spirits",Whisky,Monkey Shoulder Blended Malt Scotch Whisky 70cl,£25,Monkey Shoulder,NA,NA
5060045589798	,"Beers, Wines and Spirits",Whisky,Jim Beam Red Stag Black Cherry Kentucky Bourbon Whiskey 70cl,£17,Jim Beam,NA,NA
5010494560282	,"Beers, Wines and Spirits",Whisky,Glenmorangie The Original Highland Single Malt Scotch Whisky 70cl,£27.5,Glenmorangie,NA,NA
5099873089798	,"Beers, Wines and Spirits",Whisky,Jack Daniel's Tennessee Whiskey 70 cL,£21,Jack Daniel's,Jack Daniel's Old No. 7 Tennessee Whiskey,NA
5099873089798	,"Occasions, Flowers & Gifting",Gifting,Jack Daniel's Tennessee Whiskey 70 cL,£21,Jack Daniel's,Jack Daniel's Old No. 7 Tennessee Whiskey,NA
5099873038758	,"Beers, Wines and Spirits",Whisky,Jack Daniel's Gentleman Jack Tennessee Whiskey 70 cL,£25,Jack Daniel's,Jack Daniel's Gentleman Jack Tennessee Whiskey,NA
5010327000176	,"Beers, Wines and Spirits",Whisky,Glenfiddich 12 Year Old Single Malt Scotch Whisky 70cl,£28,Glenfiddich,Single Malt Scotch Whisky Aged 12 Years,NA
5000128089388	,"Beers, Wines and Spirits",Whisky,Co Op Blended Scotch Whisky Oak Aged 3 Years 35cl,£7.25,Co Op,Blended Scotch Whisky,NA
5000128089388	,Vegetarian and Vegan,Vegan,Co Op Blended Scotch Whisky Oak Aged 3 Years 35cl,£7.25,Co Op,Blended Scotch Whisky,NA
5011007003005	,"Beers, Wines and Spirits",Whisky,Jameson Triple Distilled Irish Whiskey 700ml,£20,Jameson,Triple Distilled Irish Whiskey,NA
3500610120015	,"Beers, Wines and Spirits",No and Low Alcohol,Nozeco Special Edition Alcohol Free Fine Sparkling 75cl,£4,Nozeco,Carbonated Flavored Drink Based on De-Alcoholised Wine,NA
3500610120015	,"Beers, Wines and Spirits",Chilled Beer and Wine,Nozeco Special Edition Alcohol Free Fine Sparkling 75cl,£4,Nozeco,Carbonated Flavored Drink Based on De-Alcoholised Wine,NA
3500610120015	,"Occasions, Flowers & Gifting",Gifting,Nozeco Special Edition Alcohol Free Fine Sparkling 75cl,£4,Nozeco,Carbonated Flavored Drink Based on De-Alcoholised Wine,NA
3500610120015	,Get Inspired,"Chilled Beer, Wine and Soft Drinks",Nozeco Special Edition Alcohol Free Fine Sparkling 75cl,£4,Nozeco,Carbonated Flavored Drink Based on De-Alcoholised Wine,NA
3500610120015	,"Beers, Wines and Spirits",Champagne and Sparkling Wine,Nozeco Special Edition Alcohol Free Fine Sparkling 75cl,£4,Nozeco,Carbonated Flavored Drink Based on De-Alcoholised Wine,NA
5000128605397	,"Beers, Wines and Spirits",Champagne and Sparkling Wine,Co-op Irresistible Pedro Ximénez Sherry 37.5cl,£6,Co-op,NA,NA
3029440007780	,"Occasions, Flowers & Gifting",Gifting,Lanson Champagne Brut 750ml,£25,Lanson,NA,NA
3029440007780	,"Beers, Wines and Spirits",Champagne and Sparkling Wine,Lanson Champagne Brut 750ml,£25,Lanson,NA,NA
3399070000506	,"Beers, Wines and Spirits",Champagne and Sparkling Wine,Famille Negrel Côtes de Provence Sainte Victoire 750ml,£13,Famille Negrel,NA,NA
3399070000506	,Get Inspired,"Chilled Beer, Wine and Soft Drinks",Famille Negrel Côtes de Provence Sainte Victoire 750ml,£13,Famille Negrel,NA,NA
3399070000506	,"Beers, Wines and Spirits",Chilled Beer and Wine,Famille Negrel Côtes de Provence Sainte Victoire 750ml,£13,Famille Negrel,NA,NA
5000128780247	,"Beers, Wines and Spirits",Gin,Co-op Irresistible Indulgent Pink Grapefruit & Elderflower Gin Liqueur 50cl,£11,Co-op,Gin Liqueur,NA
5000299296066	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,Malfy Rosa Pink Grapefruit Flavoured Gin 70cl,£28,Malfy,Grapefruit Flavoured Gin,NA
5000299296066	,"Beers, Wines and Spirits",Gin,Malfy Rosa Pink Grapefruit Flavoured Gin 70cl,£28,Malfy,Grapefruit Flavoured Gin,NA
5060204340000	,"Beers, Wines and Spirits",Gin,Sipsmith London Dry Gin 70cl,£28.5,Sipsmith,London Dry Gin,NA
5000128819992	,"Beers, Wines and Spirits",Gin,Co-op Irresistible Non-Alcoholic Botanical Drink 50cl,£10,Co-op,Non-alcoholic drink with flavourings.,NA
5010296001020	,"Beers, Wines and Spirits",Gin,Opihr Oriental Spiced London Dry Gin 70cl,£19,Opihr,London Dry Gin,NA
5000289927390	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,Gordon's Special Dry London Gin and Slimline Tonic Ready to Drink 250ml Can,£2.1,Gordon's,NA,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5000289927390	,"Beers, Wines and Spirits",Chilled Beer and Wine,Gordon's Special Dry London Gin and Slimline Tonic Ready to Drink 250ml Can,£2.1,Gordon's,NA,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5000289927390	,Get Inspired,"Chilled Beer, Wine and Soft Drinks",Gordon's Special Dry London Gin and Slimline Tonic Ready to Drink 250ml Can,£2.1,Gordon's,NA,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5000289927390	,"Beers, Wines and Spirits",Gin,Gordon's Special Dry London Gin and Slimline Tonic Ready to Drink 250ml Can,£2.1,Gordon's,NA,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5000289929899	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,Gordon's Pink Gin & Tonic Premix Ready to Drink 250ml,£2.1,Gordon's,NA,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5000387905474	,"Beers, Wines and Spirits",Whisky,Bell's Blended Scotch Whisky 70cl,£15,Bell's,NA,NA
5011007018931	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,Jameson Irish Whiskey Ginger Ale & Lime Mixed Drink 250ml,£2.1,Jameson,Jameson Irish Whiskey Mixed with Ginger Ale and Natural Lime Flavouring,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5011007018931	,"Beers, Wines and Spirits",Whisky,Jameson Irish Whiskey Ginger Ale & Lime Mixed Drink 250ml,£2.1,Jameson,Jameson Irish Whiskey Mixed with Ginger Ale and Natural Lime Flavouring,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5000128820226	,"Beers, Wines and Spirits",Whisky,Co-op Irresistible Single Malt Scotch Whisky 70cl,£18,Co-op,Single malt Scotch whisky.,NA
5000267024233	,"Beers, Wines and Spirits",Whisky,Johnnie Walker Black Label Blended Scotch Whisky 70cl,£22,Johnnie Walker,NA,NA
5099873001370	,"Beers, Wines and Spirits",Whisky,Jack Daniel's Tennessee Honey 70 cL,£21,Jack Daniel's,Jack Daniel's Tennessee Whiskey Blended with Honey Liqueur,NA
5013967011557	,"Beers, Wines and Spirits",Whisky,Tamnavulin Speyside Single Malt Scotch Whisky Double Cask 70cl,£22,Tamnavulin,Speyside Single Malt Scotch Whisky,NA
5010314700003	,"Beers, Wines and Spirits",Whisky,The Famous Grouse Finest Blended Scotch Whisky 70cl,£14.5,The Famous Grouse,Blended Scotch Whisky,NA
5000299212936	,"Beers, Wines and Spirits",Whisky,Chivas Regal 12 Year Old Blended Scotch Whisky 70cl,£29,Chivas Regal,Blended Scotch Whisky,NA
5010327307244	,"Beers, Wines and Spirits",Whisky,Glenfiddich 12 Year Old Single Malt Scotch Whisky 35cl,£16,Glenfiddich,Single Malt Scotch Whisky 12 Years Old,NA
5000128709873	,"Beers, Wines and Spirits",Champagne and Sparkling Wine,Co-op Champagne Rosé 75cl,£22,Co-op,Champagne,NA
8032638938303	,"Beers, Wines and Spirits",Champagne and Sparkling Wine,Corte Molino Prosecco DOC Extra Dry 0.75L,£8.5,Corte Molino,Prosecco - White Italian Wine,NA
5000128163125	,"Occasions, Flowers & Gifting",Gifting,Co-op Cava Brut 75cl,£6.75,Co-op,White Spanish Wine,NA
5000128163125	,"Beers, Wines and Spirits",Chilled Beer and Wine,Co-op Cava Brut 75cl,£6.75,Co-op,White Spanish Wine,NA
5000128163125	,Get Inspired,"Chilled Beer, Wine and Soft Drinks",Co-op Cava Brut 75cl,£6.75,Co-op,White Spanish Wine,NA
5000128163125	,"Beers, Wines and Spirits",Champagne and Sparkling Wine,Co-op Cava Brut 75cl,£6.75,Co-op,White Spanish Wine,NA
5000128163125	,Vegetarian and Vegan,Vegan,Co-op Cava Brut 75cl,£6.75,Co-op,White Spanish Wine,NA
5000128623643	,"Beers, Wines and Spirits",Chilled Beer and Wine,Co-op Les Pionniers Champagne Brut 75cl,£18,Co-op,Champagne,NA
5000128623643	,"Occasions, Flowers & Gifting",Gifting,Co-op Les Pionniers Champagne Brut 75cl,£18,Co-op,Champagne,NA
5000128623643	,Get Inspired,"Chilled Beer, Wine and Soft Drinks",Co-op Les Pionniers Champagne Brut 75cl,£18,Co-op,Champagne,NA
5000128623643	,"Beers, Wines and Spirits",Champagne and Sparkling Wine,Co-op Les Pionniers Champagne Brut 75cl,£18,Co-op,Champagne,NA
5000128623643	,Vegetarian and Vegan,Vegan,Co-op Les Pionniers Champagne Brut 75cl,£18,Co-op,Champagne,NA
5000289929899	,"Beers, Wines and Spirits",Chilled Beer and Wine,Gordon's Pink Gin & Tonic Premix Ready to Drink 250ml,£2.1,Gordon's,NA,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5000289929899	,Get Inspired,"Chilled Beer, Wine and Soft Drinks",Gordon's Pink Gin & Tonic Premix Ready to Drink 250ml,£2.1,Gordon's,NA,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5000289929899	,"Beers, Wines and Spirits",Gin,Gordon's Pink Gin & Tonic Premix Ready to Drink 250ml,£2.1,Gordon's,NA,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5010327755014	,"Beers, Wines and Spirits",Gin,Hendrick's Gin 70cl,£29.5,Hendrick's,Gin,NA
5000289929745	,"Beers, Wines and Spirits",Gin,Gordon's Premium Pink Distilled Gin 5cl,£3.75,Gordon's,NA,NA
5000128230360	,"Beers, Wines and Spirits",Gin,Co-op London Dry Gin 35cl,£7,Co-op,Special Dry London Gin,NA
5000281020761	,"Beers, Wines and Spirits",Gin,Tanqueray No. Ten Distilled Gin 70cl,£29,Tanqueray,NA,NA
5032678006836	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,Manchester Gin Raspberry Infused 250ml,£2.1,Manchester Gin,Raspberry Gin with Franklin & Sons Sicilian Lemon Tonic,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5032678006836	,"Beers, Wines and Spirits",Gin,Manchester Gin Raspberry Infused 250ml,£2.1,Manchester Gin,Raspberry Gin with Franklin & Sons Sicilian Lemon Tonic,BUY ANY 3 FOR £5.50 (Offer valid for delivery until 28/06/2022).
5000289929417	,"Beers, Wines and Spirits",Flavoured Spirits and Pre-Mix Cans,"Gordon's Premium Pink Distilled Flavoured Gin, 70cl",£16,Gordon's,NA,NA
5000289929417	,"Occasions, Flowers & Gifting",Gifting,"Gordon's Premium Pink Distilled Flavoured Gin, 70cl",£16,Gordon's,NA,NA
5000289929417	,"Beers, Wines and Spirits",Gin,"Gordon's Premium Pink Distilled Flavoured Gin, 70cl",£16,Gordon's,NA,NA
5000128123129	,"Beers, Wines and Spirits",Whisky,Co Op Blended Scotch Whisky Oak Aged 3 Years 1 Litre,£18.25,Co Op,"A blend of Scotch Whiskies, matured in oak casks for a fuller flavour.",NA
5000128789936	,"Beers, Wines and Spirits",Chilled Beer and Wine,Co Op Irresistible Special Cuvée Prosecco 75cl,£7,Co Op,Prosecco - White Italian Wine,BUY 3 FOR £20 (Offer valid for delivery until 12/07/2022).
5000128789936	,"Occasions, Flowers & Gifting",Gifting,Co Op Irresistible Special Cuvée Prosecco 75cl,£7,Co Op,Prosecco - White Italian Wine,BUY 3 FOR £20 (Offer valid for delivery until 12/07/2022).
5000128789936	,Get Inspired,"Chilled Beer, Wine and Soft Drinks",Co Op Irresistible Special Cuvée Prosecco 75cl,£7,Co Op,Prosecco - White Italian Wine,BUY 3 FOR £20 (Offer valid for delivery until 12/07/2022).
5000128789936	,Get Inspired,Co-op Irresistible Range,Co Op Irresistible Special Cuvée Prosecco 75cl,£7,Co Op,Prosecco - White Italian Wine,BUY 3 FOR £20 (Offer valid for delivery until 12/07/2022).
5000128789936	,"Beers, Wines and Spirits",Champagne and Sparkling Wine,Co Op Irresistible Special Cuvée Prosecco 75cl,£7,Co Op,Prosecco - White Italian Wine,BUY 3 FOR £20 (Offer valid for delivery until 12/07/2022).
5000128789936	,Vegetarian and Vegan,Vegan,Co Op Irresistible Special Cuvée Prosecco 75cl,£7,Co Op,Prosecco - White Italian Wine,BUY 3 FOR £20 (Offer valid for delivery until 12/07/2022).
5060152096813	,"Beers, Wines and Spirits",Champagne and Sparkling Wine,Maison du Vin Crémant De Loire 75cl,£12,Maison du Vin,NA,NA
5000128802918	,"Beers, Wines and Spirits",Chilled Beer and Wine,Co-op Irresistible Prosecco Rose 75cl,£8.75,Co-op,Italian Sparkling Brut Wine,NA
5010134919111	,"Beers, Wines and Spirits",Rosé Wine,Hardys Brave New World Delicate Rosé 750ml,£7.5,Hardys,NA,NA
5000128870955	,"Beers, Wines and Spirits",No and Low Alcohol,Co-op Low Alcohol Garnacha Rosé 75cl,£3.4,Co-op,Garnacha - Rosé Spanish Wine,NA
5000128870955	,"Beers, Wines and Spirits",Rosé Wine,Co-op Low Alcohol Garnacha Rosé 75cl,£3.4,Co-op,Garnacha - Rosé Spanish Wine,NA
9310415017434	,"Occasions, Flowers & Gifting",Gifting,McGuigan Single Batch Project Dry Rosé 75cl,£7,McGuigan,Dry Rosé,NA
9310415017434	,"Beers, Wines and Spirits",Rosé Wine,McGuigan Single Batch Project Dry Rosé 75cl,£7,McGuigan,Dry Rosé,NA
3430560002683	,"Occasions, Flowers & Gifting",Gifting,Coeur de Cardeline Rosé Costières de Nîmes 750ml,£8,Coeur de Cardeline,NA,NA
3430560002683	,"Beers, Wines and Spirits",Chilled Beer and Wine,Coeur de Cardeline Rosé Costières de Nîmes 750ml,£8,Coeur de Cardeline,NA,NA
3430560002683	,"Beers, Wines and Spirits",Rosé Wine,Coeur de Cardeline Rosé Costières de Nîmes 750ml,£8,Coeur de Cardeline,NA,NA
3430560002683	,Get Inspired,"Chilled Beer, Wine and Soft Drinks",Coeur de Cardeline Rosé Costières de Nîmes 750ml,£8,Coeur de Cardeline,NA,NA
3296180007794	,"Beers, Wines and Spirits",Chilled Beer and Wine,Studio by Miraval Rosé 750ml,£11,Miraval,Rosé French Wine,NA
3296180007794	,"Beers, Wines and Spirits",Rosé Wine,Studio by Miraval Rosé 750ml,£11,Miraval,Rosé French Wine,NA
3296180007794	,Get Inspired,"Chilled Beer, Wine and Soft Drinks",Studio by Miraval Rosé 750ml,£11,Miraval,Rosé French Wine,NA
5000289110600	,"Beers, Wines and Spirits",Gin,Gordon's Special Dry London Gin 70cl,£15,Gordon's,NA,NA
5000289110808	,"Beers, Wines and Spirits",Gin,Gordon's Special Dry London Gin 1L,£21,Gordon's,NA,NA
5000281015248	,"Beers, Wines and Spirits",Gin,Tanqueray London Dry Gin 70cl,£21,Tanqueray,NA,NA
5000128802918	,"Beers, Wines and Spirits",Champagne and Sparkling Wine,Co-op Irresistible Prosecco Rose 75cl,£8.75,Co-op,Italian Sparkling Brut Wine,NA
5000128802918	,Get Inspired,"Chilled Beer, Wine and Soft Drinks",Co-op Irresistible Prosecco Rose 75cl,£8.75,Co-op,Italian Sparkling Brut Wine,NA
5000128802918	,"Occasions, Flowers & Gifting",Gifting,Co-op Irresistible Prosecco Rose 75cl,£8.75,Co-op,Italian Sparkling Brut Wine,NA
3018334100003	,"Beers, Wines and Spirits",Champagne and Sparkling Wine,Piper-Heidsieck Champagne Cuvée Brut 750ml,£35,Piper-Heidsieck,Champagne,NA
