Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Frozen Goods,792359,5099556024078	,BIG AL'S MAC N'CHEESE POPS,4 x 1kgm,NA,£33.96,0.0%,In Stock,KEPAK CONVENIENCE FOODS,NA,No
Soft Drinks,915888,5054267010819	,LUCOZADE ZERO PINK,12X900MLS,£1.25,£11.99,20.0%,In Stock,Suntory GB Ltd,Lucozade Zero Pink Lemonade 900ml,No
Soft Drinks,915839,5054267012042	,LUCOZADE CARRIBBEAN 1.25#,12X380MLS,£1.25,£7.19,20.0%,In Stock,Suntory GB Ltd,Lucozade Energy  Drink Caribbean Crush 380ml PMP £1.25,No
Soft Drinks,447366,5060335634153	,MONSTER ENERGY RESEALABLE,12X553MLS,£1.89,£12.99,20.0%,In Stock,Coca Cola HBC Northern Ireland,"Monster has an intense but smooth flavour.Athletes, musicians, anarchists, students, road warriors, metal heads, geeks, hipsters, and bikers dig it - you will too.Unleash the Beast! ®",No
Catering Dry Goods,517368,5000243820200	,NESCAFE GOLD BLEND,6 x 750grm,NA,£137.99,0.0%,In Stock,Nescafé,Find out more about Nescafe Gold Blend at https://www.nestleprofessional.co.uk/news/latest-news/nescafe-gold-blend-new-recipeOr discover more from Nestle Professional on Facebook https://www.facebook.com/NestleProfessionalUK/YouTube https://www.youtube.com/c/nestleprofessionalukTwitter https://twitter.com/nestleproukInstagram https://www.instagram.com/nestleprouk/,No
"Confectionery, Crisps & Snacks",916524,5059321004414	,CRUNCHY NUT ALMOND BAR,12 x 45grm,£0.99,£6.99,20.0%,In Stock,Kelloggs,Enjoy as part of a balanced diet and active lifestyle,No
Soft Drinks,915856,5054267012264	,LUCOZADE ZERO ORIG 69P,24 x 250mls,£0.69,£8.29,20.0%,In Stock,Suntory GB Ltd,Lucozade Zero Original 25ml PMP 69p,No
Soft Drinks,915857,5054267012288	,LUCOZADE ZERO PINK 69P,24 x 250mls,£0.69,£8.29,20.0%,In Stock,Suntory GB Ltd,Lucozade Zero Pink Lemonade 250ml PMP 69p,No
Soft Drinks,915854,5054267012240	,LUCOZADE ORANGE 69P,24 x 250mls,£0.69,£8.29,20.0%,In Stock,Suntory GB Ltd,Lucozade Energy Drink Orange 250ml Can 69p PMP,No
Soft Drinks,785822,5060608748433	,REIGN ORANGE 1.49,12 x 500mls,£1.49,£10.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,"Helps to improved concentration*Contributes to the reduction of fatigue**REIGN® is fuelled with caffeine and B-vitamins. *Caffeine may contribute to improved concentration and increased alertness. **Vitamins B3, B6 and B12 may contribute to the reduction of tiredness and fatigue and to a normal energy-yielding metabolism. Vitamin B6 may contribute to normal protein and glycogen metabolism.",No
Soft Drinks,915855,5054267012257	,LUCOZADE ORIGINAL 69P,24 x 250mls,£0.69,£8.29,20.0%,In Stock,Suntory GB Ltd,Lucozade Energy Drink Original 250ml can PMP 69p,No
Soft Drinks,762699,5060608743186	,REIGN RAZZLE BERRY 1.49,12 x 500mls,£1.49,£10.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,"REIGN® is fuelled with caffeine and B-vitamins. Caffeine may contribute to increased concentration and alertness.  Vitamins B3, B6 and B12 may contribute to the reduction of tiredness and fatigue and to a normal energy-yielding metabolism. Vitamin B6 may contribute to normal protein and glycogen metabolism.",No
Soft Drinks,766113,90446122	,RED BULL TROPICAL 1.35,12 x 250mls,£1.35,£8.49,20.0%,In Stock,Richmond Marketing NI Ltd,"Red Bull Energy Drink, Tropical Edition, PM £1.35, 250ml (12 Pack)",No
Soft Drinks,548248,50107438	,BARRS IRN BRU,24 x 330mls,£0.75,£9.29,20.0%,In Stock,Barr,IRN-BRU Original 330ml,No
Soft Drinks,762698,5060608743155	,REIGN MELON MANIA 1.49,12 x 500mls,£1.49,£10.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,"Reign® is fuelled with caffeine and B-vitamins. Caffeine may contribute to increased concentration and alertness.  Vitamins B3, B6 and B12 may contribute to the reduction of tiredness and fatigue and to a normal energy-yielding metabolism. Vitamin B6 may contribute to normal protein and glycogen metabolism.",No
Soft Drinks,916395,90453090	,RED BULL S/B APRICOT 1.35,12 x 250mls,£1.35,£8.49,20.0%,In Stock,Richmond Marketing NI Ltd,A varied and balanced diet and a healthy lifestyle are recommended.,No
Soft Drinks,914851,5060639128129	,MONSTER ULTRA PARADISE 4PK,6 x 500mls,£3.99,£14.99,20.0%,In Stock,Coca Cola HBC Northern Ireland,Monster Ultra Paradise 4 x 500ml,No
Soft Drinks,762697,5060608742998	,REIGN LEMON HDZ 1.49,12 x 500mls,£1.49,£10.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,"Reign® is fuelled with caffeine and B-vitamins. Caffeine may contribute to increased concentration and alertness.  Vitamins B3, B6 and B12 may contribute to the reduction of tiredness and fatigue and to a normal energy-yielding metabolism. Vitamin B6 may contribute to normal protein and glycogen metabolism.",No
"Confectionery, Crisps & Snacks",915179,5012159037924	,TAYTO SPRING ONION,32X32.GRM,£0.69,£14.39,20.0%,In Stock,Tayto Group Ltd,Head to www.tayto.com to arrange a tour!,No
Soft Drinks,755844,5000128785938	,CELTIC SPRING SPORTS CAP,12 x 750mls,£0.79,£3.39,20.0%,In Stock,Montgomery Springs Water Ltd,NA,No
Soft Drinks,169352,683200140687	,EVIAN WATER,12 x 750mls,£0.99,£6.49,20.0%,In Stock,Richmond Marketing NI Ltd,From our pristine Alpine mountain source to youEvian water is the result of a 15-year filtration through a natural ecosystem that we preserve.Discover how on evian.comThe Championships Wimbledon,No
"Confectionery, Crisps & Snacks",915178,5012159037955	,TAYTO PRAWN COCKTAIL,32X32.GRM,£0.69,£14.39,20.0%,In Stock,Tayto Group Ltd,Head to www.tayto.com to arrange a tour!,No
Soft Drinks,103559,3068320055008	,EVIAN WATER,24 x 500mls,£0.79,£7.19,20.0%,In Stock,Evian,The Championships WimbledonLearn more on evian.com,No
"Confectionery, Crisps & Snacks",754281,5012159036019	,TAYTO SAUCERS BBQ 1.00,16X55GRM,£1.00,£9.99,20.0%,In Stock,Tayto Group Ltd,NA,No
Soft Drinks,915931,5000382112723	,IRN BRU XTRA 1.00,12 x 500mls,£1.00,£7.09,20.0%,In Stock,Tennant & Ruttle,IRN-BRU Xtra No Sugar 500ml Bottle PMP £1,No
Soft Drinks,790682,40608174	,7UP REGULAR,24 x 500mls,£1.29,£15.99,20.0%,In Stock,Britvic Northern Ireland,7UP Regular Lemon & Lime Bottle 24 x 500ml,No
Soft Drinks,695636,5391521831682	,CLUB ZERO LEMON#,24 x 500mls,£1.29,£15.99,20.0%,In Stock,Britvic Northern Ireland,Club Zero Lemon Bottle 500ml,No
Soft Drinks,436119,5391521830364	,CLUB ZERO ORANGE,24 x 500mls,£1.29,£15.99,20.0%,In Stock,Club,Club Zero Orange Bottle 500ml,No
Soft Drinks,916096,5011020104505	,RIVER ROCK PEAR B/BRY B/CUR,15X450MLS,£1.39,£9.99,20.0%,In Stock,Coca Cola HBC Northern Ireland,"Consume as part of a varied, balanced diet and healthy lifestyle.",No
Soft Drinks,915599,5099483951263	,BALLYGOWAN SUMMER FRUITSHINT FRUIT,12 x 750mls,£1.39,£8.99,20.0%,In Stock,Britvic Northern Ireland,Did You Know?Sustainability is Important to Us at Ballygowan,No
Soft Drinks,915930,5000382112686	,IRN BRU 1.00,12 x 500mls,£1.00,£7.09,20.0%,In Stock,Tennant & Ruttle,IRN-BRU 500ml Bottle PMP £1,No
Soft Drinks,915598,5099483951256	,BALLYGOWAN STRAWBERRY HINT OF FRUIT,12 x 750mls,£1.39,£8.99,20.0%,In Stock,Britvic Northern Ireland,Ballygowan with a Hint of Strawberry Flavoured Water 750ml,No
Soft Drinks,916081,5011020104543	,RIVER ROCK MANDARIN,15 x 750mls,£1.39,£9.99,20.0%,In Stock,Coca Cola HBC Northern Ireland,"With vitamin B6 + zinc contribute to the normal function of the immune system†† Consume as part of a varied, balanced diet and healthy lifestyle.",No
Soft Drinks,916080,5011020104536	,RIVER ROCK APPLE & PEAR,15 x 750mls,£1.39,£9.99,20.0%,In Stock,Coca Cola HBC Northern Ireland,"With vitamin B6 + zinc contribute to the normal function of the immune system†† Consume as part of a varied, balanced diet and healthy lifestyle.",No
Soft Drinks,916085,5011020104512	,RIVER ROCK MANGO P/FRUIT,15X450MLS,£1.39,£9.99,20.0%,In Stock,Coca Cola HBC Northern Ireland,"Consume as part of a varied, balanced diet and healthy lifestyle.",No
Soft Drinks,916082,5011020104550	,RIVER ROCK TROPICAL,15 x 750mls,£1.39,£9.99,20.0%,In Stock,Coca Cola HBC Northern Ireland,"With vitamin B6 + zinc contribute to the normal function of the immune system†† Consume as part of a varied, balanced diet and healthy lifestyle.",No
Catering Dry Goods,556491,5060154038231	,FAIRWAY DISTILLED MALT VINEGAR,4 x 5ltr,NA,£9.59,0.0%,In Stock,The Chefs Kitchen Ltd,NA,No
Soft Drinks,767526,5019490312963	,AQUAROMA F/FRUITS 4PK STILL,6 x 500mls,£1.09,£3.99,20.0%,In Stock,Montgomery Springs Water Ltd,Aquaroma Still Forest Fruits Flavoured Spring Water 4  x 500ml,No
Soft Drinks,793039,5060108450850	,FEVER TREE ELDERFLOWER 4PK,6 x 200mls,£4.39,£16.09,20.0%,In Stock,Richmond Marketing NI Ltd,"Named tonic of choice by the world's top bars and restaurants**Leslie Henry Research 2016""Best tonic is Fever-Tree which has revolutionised the G&T in recent years""Susy Atkins, Stella, The Sunday TelegraphFind the perfect tonic for your favourite gin at fever-tree.com/pairing-wheelMalaria No More United KingdomWe proudly support Malaria No More as part of a global effort to put an end to malaria.For more information about all our products please visit www.fever-tree.com",No
"Confectionery, Crisps & Snacks",548228,50105083	,TREBOR SOFTMINTS SPEARMINTS,40 x 45grm,£0.65,£11.29,20.0%,In Stock,Trebor,Trebor Softmints Spearmint Mints Roll 44.9g,No
"Confectionery, Crisps & Snacks",548218,50105090	,TREBOR SOFTMINTS PEPPERMINT,40 x 45grm,£0.65,£11.29,20.0%,In Stock,Trebor,Trebor Softmints Peppermint 44.9g,No
"Confectionery, Crisps & Snacks",502175,5033305002429	,FOSTERS PINK CANDYFLOSS,6 x 30grm,£1.49,£4.99,20.0%,In Stock,Fosters Chocolates,NA,No
Soft Drinks,793009,5060108450232	,FEVER TREE 4PK LIGHT TONIC INDIAN,6 x 200mls,£3.99,£14.09,20.0%,In Stock,Richmond Marketing NI Ltd,FEVER-TREE Refreshingly Light Indian Tonic Water 4 x 200ml,No
Soft Drinks,758049,5391521830685	,CLUB TONIC NRB,24X125MLS,NA,£7.49,20.0%,In Stock,Britvic Northern Ireland,Club Mixers Tonic Water 125ml,No
Soft Drinks,758050,5391521830678	,CLUB GINGER ALE NRB,24X125MLS,NA,£7.49,20.0%,In Stock,Britvic Northern Ireland,Club Mixers Ginger Ale 125ml,No
Soft Drinks,793019,5060108450010	,FEVER TREE TONIC 4PK,6 x 200mls,£4.39,£16.09,20.0%,In Stock,Richmond Marketing NI Ltd,For more information about all our products please visit www.fever-tree.com,No
Soft Drinks,779471,5000382018452	,SIMPLY FRUITY ORANGE,12 x 330mls,£0.69,£3.99,20.0%,In Stock,Tennant & Ruttle,Simply Fruity Orange 330ml,No
Soft Drinks,779470,5000382018438	,SIMPLY FRUITY APPLE & BLACKCURRANT,12 x 330mls,£0.69,£3.99,20.0%,In Stock,Tennant & Ruttle,Simply Fruity Blackcurrant & Apple 330ml,No
Soft Drinks,779469,5000382018414	,SIMPLY FRUITY APPLE,12 x 330mls,£0.69,£3.99,20.0%,In Stock,Tennant & Ruttle,Simply Fruity Apple 330ml,No
Soft Drinks,739710,5000347025365	,RIBENA STRAWBERRY,12 x 500mls,£1.49,£9.29,20.0%,In Stock,Ribena,Ribena Strawberry Juice Drink No Added Sugar 500ml,No
Soft Drinks,309388,5000347017568	,RIBENA BLACKCURRANT,12 x 500mls,£1.49,£9.29,20.0%,In Stock,Ribena,Ribena Blackcurrant Juice Drink 500ml,No
Soft Drinks,445522,5010386102293	,SUKIE APPLE & BLACKCURRANT,10 x 500mls,£0.79,£3.45,20.0%,In Stock,Dromona Quality Foods,Dale Farm Sukie Apple & Blackcurrant 500ml,No
Soft Drinks,403982,50018475	,SUKIE APPLE & BLACKCURRANT,1 x 250mls,£0.35,£0.25,20.0%,In Stock,Dale Farm,Thank you for choosing dale farm and supporting your local farmers.,No
Soft Drinks,403708,50018475	,SUKIE APPLE & BLACKCURRANT,20X250MLS,£0.35,£3.59,20.0%,In Stock,Dale Farm,Thank you for choosing dale farm and supporting your local farmers.,No
Soft Drinks,403705,50021277	,SUKIE ORANGE,20X250MLS,£0.35,£3.59,20.0%,In Stock,Dale Farm,Thank you for choosing dale farm and supporting your local farmers.,No
"Confectionery, Crisps & Snacks",440429,7622201436001	,CADBURY FUDGE 5PK,20X110GRM,£1.00,£14.19,20.0%,In Stock,Kraft Foods UK Ltd,BeTreatwise.netCadbury WorldHave you visited Cadbury World yet? It's great fun for all the family. Check out our assortment of chocolatey zones and book tickets at cadburyworld.co.ukCadbury Gifts DirectGift ideas from Cadbury? visit www.cadburygiftsdirect.co.uk or order by phone 0845 600 3113Cocoa LifePartnering with Fairtrade Foundationcocoalife.org,No
"Confectionery, Crisps & Snacks",440428,7622201427252	,CADBURY CURLY WURLY MULTIPACK,28X107GRM,£1.00,£19.79,20.0%,In Stock,Kraft Foods UK Ltd,"BeTreatwise.netCocoa LifePartnering with Fairtrade Foundationwww.cocoalife.orgCadbury Gifts DirectGift ideas from  Cadbury? visit www.cadburygiftsdirect.co.uk or order by phone 0845 600 3113Cadbury WorldHave you visited Cadbury World yet? With an assortment of chocolatey zones to explore, it's  great fun for all the family. Reservations advised. Call +44 121 393 6004 or visit cadburyworld.co.uk",No
Soft Drinks,403981,50021277	,SUKIE ORANGE,1 x 250mls,£0.35,£0.25,20.0%,In Stock,Dale Farm,Thank you for choosing dale farm and supporting your local farmers.,No
Soft Drinks,767450,5054267010154	,RIBENA BLACKCURRANT 1.50,6 x 600mls,£1.50,£5.79,20.0%,In Stock,Suntory GB Ltd,Ribena Blackcurrant Squash 600ml PMP £1.50,No
Soft Drinks,741418,5000147030002	,ROB NAS ORANGE&PINEAPPLE,12 x 1ltr,£1.59,£11.49,20.0%,In Stock,Robinsons,Robinsons Orange & Pineapple No Added Sugar Squash 1L,No
"Confectionery, Crisps & Snacks",180342,5000159021692	,SKITTLES FRUIT 1.00,12 x 125grm,£1.00,£6.99,20.0%,In Stock,Skittles,"£1RRP****Recommended Retail PriceWin a 5 Home CinemaUK and ROI 18+.Register the last four digits of the barcode on this pack at www.mms-streaming.co.uk between 23/08/21 and 30/11/21 for a chance to win one of ten Home Cinema Systems (9 for UK entries, 1 for ROI) or one of 1000s of other prizes, including Amazon Fire TV Sticks or bundles of M&M'S goodies. Wrap-up draw for entries between 01/12/21 and 28/02/22 with two Home Cinema Systems to be won (1 for UK, 1 for ROI).  Retain pack as proof of purchase. Maximum one entry per person per day. No purchase necessary for NI residents. See www.mms-streaming.co.uk for NI free entry details, full T&Cs and prizes details. Promoter: Mars Wrigley Confectionery, Slough SL1 4LG.",No
"Confectionery, Crisps & Snacks",915303,3017627101604	,KINDER CHOCOLATE T16,10 x 200grm,£1.99,£14.99,20.0%,In Stock,Kinder,Be Treatwise.netGet to know your treatsVisit Kinder.comFor more information visit: www.kinder.co.uk,No
"Confectionery, Crisps & Snacks",799338,7613287599209	,NESTLE VARIETY MIX,12 x 264grm,£1.99,£16.99,20.0%,In Stock,Nestle UK Ltd,"Learn more: http://www.nestle.co.uk/brandsGood to remember: Enjoying chocolate as part of a varied, balanced diet  and a healthy lifestyle, is one of life's little pleasures.Cocoa Plan:Supporting farmers for better chocolate. Working with UTZ to support cocoa farmers. Find out more at www.nestlecocoaplan.com.",No
"Confectionery, Crisps & Snacks",779156,7613287057082	,FRUIT PASTILLES 3PK 1.00,20X128GRM,£1.00,£13.99,20.0%,In Stock,Nestle UK Ltd,"Visit us at www.rowntrees.co.uk, www.facebook.com/rowntrees or www.twitter.com/rowntrees.",No
Soft Drinks,721864,5000147030156	,ROB NAS SUMMER FRUIT,12 x 1ltr,£1.59,£11.49,20.0%,In Stock,Robinsons,ROBINSONS Summer Fruits 1 Litre,No
"Confectionery, Crisps & Snacks",555069,5000159504706	,MALTESER TEASER 60P,24 x 35grm,£0.60,£9.29,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Maltesers Teasers Chocolate £0.60 PMP Bar 35g,No
"Confectionery, Crisps & Snacks",180343,4009900484800	,STARBURST ORIGINAL 1.00,12X141GRM,£1.00,£6.99,20.0%,In Stock,Starburst,Starburst Original Fruit Chews Sweets £1 PMP Treat Bag 141g,No
Soft Drinks,720360,5000147030149	,ROB NAS APPLE&B/CURRANT,12 x 1ltr,£1.59,£11.49,20.0%,In Stock,Robinsons,ROBINSONS Apple & Blackcurrant 1 Litre,No
"Confectionery, Crisps & Snacks",473540,5000159314572	,SKITTLES SOURS 1.00,12 x 125grm,£1.00,£6.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Skittles Crazy Sours Sweets £1 PMP Treat Bag 125g,No
Catering Dry Goods,764895,8712566234554	,* KNORR 100% CHKN & VEG SOUP,1 x 2.5kgm,NA,£6.45,0.0%,In Stock,Unilever Foods Irl Ltd Food So,NA,No
"Confectionery, Crisps & Snacks",915618,4009900538527	,SKITTLES SQUISHY FRUITS 1.00,14X70GRM,£1.00,£8.19,20.0%,In Stock,Mars Wrigley DAP UK Ltd,£1 RRP****Recommended Retail Price,No
Soft Drinks,132229,5026791442008	,DEEP RIVERROCK SPARKLINGWATER,8 x 2ltr,£1.29,£5.49,20.0%,In Stock,Deep RiverRock,Deep RiverRock Sparkling Water 2 Litre,No
Soft Drinks,915939,5000382112785	,IRN BRU XTRA 1.69,6 x 2ltr,£1.69,£6.49,20.0%,In Stock,Tennant & Ruttle,Irn-Bru Xtra No Sugar 2L Bottle PMP £1.69 or 2 for £3,No
Soft Drinks,915938,5000382112747	,IRN BRU 1.69,6 x 2ltr,£1.69,£6.49,20.0%,In Stock,Tennant & Ruttle,IRN-BRU 2L Bottle PMP £1.69 or 2 for £3,No
"Confectionery, Crisps & Snacks",787419,4009900539326	,SKITTLES GIANT SOUR 1.00,12 x 125grm,£1.00,£6.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,£1 RRP****Recommended Retail Price,No
"Confectionery, Crisps & Snacks",915617,4009900541701	,SKITTLES SQUISHY SOURS 1.00,14X70GRM,£1.00,£8.19,20.0%,In Stock,Mars Wrigley DAP UK Ltd,£1 RRP****Recommended Retail Price,No
Soft Drinks,915936,5000382113331	,BARRS RASPBERRYADE 1.19,6 x 2ltr,£1.19,£4.29,20.0%,In Stock,Tennant & Ruttle,For more information information on this product visit www.barrflavour.co.uk,No
Soft Drinks,915935,5000382113171	,BARRS ORANGEADE 1.19,6 x 2ltr,£1.19,£4.29,20.0%,In Stock,Tennant & Ruttle,For more information on this product visit www.barrflavours.co.uk,No
Soft Drinks,915934,5000382113232	,BARRS CREAM SODA 1.19,6 x 2ltr,£1.19,£4.29,20.0%,In Stock,Tennant & Ruttle,Fore more information on this product visit www.barrflavours.co.uk,No
"Confectionery, Crisps & Snacks",769912,5034660518471	,DOUBLE DECKER DUO,32X74GRM,£0.89,£17.39,20.0%,In Stock,Cadbury,BeTreatwise.netCocoa LifePartnering with Fairtrade Foundationwww.cocoalife.org,No
"Confectionery, Crisps & Snacks",745082,5034660518457	,CAD BOOST DUO,32X63GRM,£0.89,£17.39,20.0%,In Stock,Cadbury,BeTreatwise.netCocoa LifePartnering with Fairtrade Foundationwww.cocoalife.org,No
"Confectionery, Crisps & Snacks",768771,5000159532839	,GALAXY RIPPLE 60P,36 x 33grm,£0.60,£13.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,60p RRP****Recommended Retail Price,No
"Confectionery, Crisps & Snacks",556280,5000159504492	,TWIX 60P,160X50GRM,£0.60,£59.79,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Twix Chocolate Biscuit £0.60 PMP Twin Bars 50g,No
Soft Drinks,664241,5449000004864	,SPRITE WITH SUGAR,8 x 2ltr,£1.69,£8.99,20.0%,In Stock,Sprite,"A Chance to Win Prizes for Your Chill SpaceCollect, Play on Coke App for chance to Win (Chill Time Prizes) *ROI &  NI 18+. Purchase & enter pin code under label in downloaded  Coke App. 30.05-2?07.22. Play games for a chance to win weekly Draw Prizes 2xTablet, 4xSpeakers, 2xBeanbag Lounger, 3x Wearable blanket,1xSmart lighting kit, 5x Wireless headphones, 10x LED strip light prizes available each week (draw dates in App. Not all prizes may be won. Max 42 entries to the Weekly draws in total 1 win/person/prize type. Mop Up draw for 1x Speaker 25.07- 04.09.22 Excl. apply. Full T&Cs: sprite.ie/chilltime.Promoter: Coca-Cola Ireland",No
Soft Drinks,509781,5449000051547	,COCA COLA ORIGINAL CAN 6PACK,4 x 330mls,£4.99,£12.89,20.0%,In Stock,Coca-Cola,Coca-Cola 6 x 330ml,No
Soft Drinks,527558,5449000006004	,FANTA LEMON,24 x 330mls,£0.79,£9.49,20.0%,In Stock,Fanta,Fanta Icy Lemon 330ml Can,No
"Confectionery, Crisps & Snacks",657848,5034660520825	,CADBURY WISPA DUO,32X47GRM,£0.89,£17.39,20.0%,In Stock,Cadbury,BeTreatwise.netGet to know your treats1 bar = 6 % of the RI* of kcal*% reference intake of an average adult (8400  kJ / 2000 kcal)Cocoa LifePartnering with Fairtrade Foundationwww.cocoalife.org,No
Soft Drinks,449610,90495724	,LILT BOTTLE,24 x 500mls,£1.39,£14.49,20.0%,In Stock,Lilt,Lilt Fruit Crush Pineapple & Grapefruit 500ml,No
Soft Drinks,435710,87170665	,PEPSI BOTTLE,24 x 500mls,£1.49,£18.49,20.0%,In Stock,Pepsi,Pepsi Cola 500ml,No
Soft Drinks,431621,54491069	,SPRITE CONTOUR,24 x 500mls,£1.39,£14.49,20.0%,In Stock,Sprite,"A Chance to Win Prizes for your Chill SpaceCollect, Play on Coke App for chance to WIN (CHILL TIME PRIZES). ""ROI & NI 18+. Purchase & enter pin codeunder label in downloaded  Coke App.30.05-240722, Play games for a chance to win weekly Draw Prizes 2xTablet,4xSpeakers, 2xBeanbag Lounger, 3x Wearable blanket, 1xSmart lighting kit, 5x Wireless headphones,  10x LED strip light prizes available each week (draw dates in App). Not all prizes may be won. Max 42 entries to the Weekly draws in total 1 win/person/prize type. Mop Up draw for  1x Speaker 25.07-04.09.22 ExcL apply. Full T&Cs: sprite.ie/chilltime. Promoter: Coca-Cola Ireland",No
"Confectionery, Crisps & Snacks",754276,5012159036521	,TAYTO PICKLED ONION 1.00,16X65GRM,£1.00,£9.99,20.0%,In Stock,Tayto Group Ltd,NA,No
"Confectionery, Crisps & Snacks",754275,5012159036484	,TAYTO CHEESE&ONION 1.00,16X65GRM,£1.00,£9.99,20.0%,In Stock,Tayto Group Ltd,NA,No
