Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Packaging & Disposables,791457,5011581066465	,C/PACK ENVIRO FLEXI PAPER STRAW,1 x 150pce,NA,£1.69,20.0%,In Stock,ROBINSON YOUNG,NA,No
"Household, Cleaning & Pet Care",448243,3065890123878	,PEDIGREE POUCH GRAVY 12PK,4 x 100grm,£4.89,£10.99,20.0%,In Stock,Mars Pet Care UK Ltd,Pedigree Adult Wet Dog Food Pouches Mixed in Gravy 12  x 100g,No
Alcohol & Tobacco,573949,8410302106300	,CAMPO VIEJO TEMPRANILLO,1 x 75cl,£9.41,£5.19,20.0%,In Stock,Campo Viejo,Campo Viejo Tempranillo 75cl,No
"Household, Cleaning & Pet Care",784166,7613287624079	,GO CAT CKN/DUCK 1.19,6 x 340grm,£1.19,£3.99,20.0%,In Stock,Nestle Purina UK Commerical Op,"Every ingredient has a purpose www.purina.eu/ingredientsFor more information, go to: https://www.purina.co.uk/cat/go-cat/",No
"Household, Cleaning & Pet Care",784174,7613287624147	,GO CAT TURK/CKN/VEG 1.19,6 x 340grm,£1.19,£3.99,20.0%,In Stock,Nestle Purina UK Commerical Op,"Every ingredient has a purposewww.purina.eu/ingredientsFor more information, go to: https://www.purina.co.uk/cat/go-cat/",No
"Household, Cleaning & Pet Care",448244,3065890123892	,PEDIGREE POUCH JELLY FAVOURITES,4 x 100grm,£4.89,£10.99,20.0%,In Stock,Mars Pet Care UK Ltd,Pedigree Adult Wet Dog Food Pouches Mixed in Jelly 12  x 100g,No
Soft Drinks,916327,5056079900937	,BOOST JUICD GUAVA 1.00,12 x 500mls,£1.00,£6.99,20.0%,In Stock,HSM (NI) Ltd,Consume in moderation as part of a varied and balanced diet and healthy lifestyle.Supports Local Shops,No
Soft Drinks,915857,5054267012288	,LUCOZADE ZERO PINK 69P,24 x 250mls,£0.69,£7.99,20.0%,In Stock,Suntory GB Ltd,Lucozade Zero Pink Lemonade 250ml PMP 69p,No
Soft Drinks,915856,5054267012264	,LUCOZADE ZERO ORIG 69P,24 x 250mls,£0.69,£7.99,20.0%,In Stock,Suntory GB Ltd,Lucozade Zero Original 25ml PMP 69p,No
Soft Drinks,915855,5054267012257	,LUCOZADE ORIGINAL 69P,24 x 250mls,£0.69,£7.99,20.0%,In Stock,Suntory GB Ltd,Lucozade Energy Drink Original 250ml can PMP 69p,No
Soft Drinks,915849,5054267012233	,LUCOZADE ZERO ORIG 1.25,24 x 380mls,£1.25,£14.59,20.0%,In Stock,Suntory GB Ltd,Lucozade Zero Original 380ml PMP  £1.25,No
Soft Drinks,915854,5054267012240	,LUCOZADE ORANGE 69P,24 x 250mls,£0.69,£7.99,20.0%,In Stock,Suntory GB Ltd,Lucozade Energy Drink Orange 250ml Can 69p PMP,No
Soft Drinks,915848,5054267012172	,LUCOZADE ORIGINAL 1.25,24 x 380mls,£1.25,£14.59,20.0%,In Stock,Suntory GB Ltd,Lucozade Energy  Drink Original 380ml PMP £1.25,No
Catering Dry Goods,530953,5000354162213	,HARTLEYS RASPBERRY JAM,2X3.1KGM,NA,£24.55,0.0%,In Stock,Hartley's,Hartley's Raspberry Jam 3.18kg,No
Catering Dry Goods,530751,5000354162152	,HARTLEYS BREAKFAST MARMALADE,1X3.1KGM,NA,£7.19,0.0%,In Stock,Hartley's,Hartley's Breakfast Medium Cut Marmalade 3.18kg,No
Catering Dry Goods,530750,5000354162152	,HARTLEYS BREAKFAST MARMALADE,2X3.1KGM,NA,£14.35,0.0%,In Stock,Hartley's,Hartley's Breakfast Medium Cut Marmalade 3.18kg,No
Catering Dry Goods,530952,5000354162220	,HARTLEYS STRAWBERRY JAM,1X3.1KGM,NA,£7.99,0.0%,In Stock,Hartley's,Hartley's Strawberry Jam 3.18kg,No
Catering Dry Goods,588489,39745000228	,PUNJANA TEA BAGS,1 x 1100,NA,£17.59,0.0%,In Stock,Punjana Ltd,Learn more about us online at www.thompsonsfamilyteas.com and check out many more of our blends. Love your tea as  much as we do!,No
Catering Dry Goods,530951,5000354162220	,HARTLEYS STRAWBERRY JAM,2X3.1KGM,NA,£15.95,0.0%,In Stock,Hartley's,Hartley's Strawberry Jam 3.18kg,No
Soft Drinks,915847,5054267012165	,LUCOZADE ORANGE 1.25,24 x 380mls,£1.25,£14.59,20.0%,In Stock,Suntory GB Ltd,Lucozade Energy Drink Orange 380ml PMP £1.25,No
Catering Dry Goods,501218,39745000228	,PUNJANA TEA BAGS,2 x 1100,NA,£35.18,0.0%,In Stock,Punjana Ltd,Learn more about us online at www.thompsonsfamilyteas.com and check out many more of our blends. Love your tea as  much as we do!,No
Catering Dry Goods,501188,39745000037	,PUNJANA TEA BAGS,6 x 1kgm,£9.59,£42.59,0.0%,In Stock,Punjana Ltd,Learn more about us online at www.thompsonsfamilyteas.com and check out many more of our blends. Love your tea as  much as we do!,No
Catering Dry Goods,557759,110033000146	,MAXWELL HOUSE R/BLND COFFEE GRANULE,1 x 750grm,NA,£13.99,0.0%,In Stock,Jacobs Douwe Egbert Profession,Nutritional information: Maxwell House is made from 100% natural coffee beans and without any additives. A cup of  this rich coffee can contribute to your daily fluid intake.,No
Catering Dry Goods,916497,49733000215	,CHOLULA HOT SAUCE ORIGINAL,12 x 150mls,NA,£19.39,0.0%,In Stock,RH Amar Ltd,Cholula Hot Sauce Original 150ml,No
Catering Dry Goods,768781,5000157073112	,HEINZ TOMATO KETCHUP SQUEEZY BOTTLE,8 x 1kgm,NA,£19.55,0.0%,In Stock,H J Heinz Co Ireland Ltd,Check out our tomato ketchup recipes at Heinz.co.uk,No
Catering Dry Goods,768778,5000157142818	,HEINZ SWEET CHILLI,1X875MLS,NA,£2.95,0.0%,In Stock,H J Heinz Co Ireland Ltd,NA,No
Catering Dry Goods,768777,5000157142818	,HEINZ SWEET CHILLI,6X875MLS,NA,£17.55,0.0%,In Stock,H J Heinz Co Ireland Ltd,NA,No
Catering Dry Goods,573478,5000157076649	,HEINZ BACONNAISE SAUCE,6X875MLS,NA,£17.55,0.0%,In Stock,H J Heinz Co Ireland Ltd,Heinz Smokey Baconnaise 880g,No
Catering Dry Goods,692994,5000354162183	,HARTLEYS MIXED FRUIT JAM,1 x 3.18kgm,NA,£7.95,0.0%,In Stock,Hartley's,Hartley's Mixed Fruit Jam 3.18kg,No
Catering Dry Goods,568869,5000157076632	,HEINZ SAUCE STICKY BBQ,1X875MLS,NA,£2.95,0.0%,In Stock,H J Heinz Co Ireland Ltd,Heinz Sticky Korean Barbecue Sauce 1.0kg,No
Catering Dry Goods,692993,5000354162183	,HARTLEYS MIXED FRUIT JAM,2 x 3.18kgm,NA,£15.89,0.0%,In Stock,Hartley's,Hartley's Mixed Fruit Jam 3.18kg,No
Catering Dry Goods,530954,5000354162213	,HARTLEYS RASPBERRY JAM,1X3.1KGM,NA,£12.29,0.0%,In Stock,Hartley's,Hartley's Raspberry Jam 3.18kg,No
Catering Dry Goods,568858,5000157076632	,HEINZ SAUCE STICKY BBQ,6X875MLS,NA,£17.55,0.0%,In Stock,H J Heinz Co Ireland Ltd,Heinz Sticky Korean Barbecue Sauce 1.0kg,No
Catering Dry Goods,768782,5000157073112	,HEINZ TOMATO KETCHUP SQUEEZY BOTTLE,1 x 1kgm,NA,£2.45,0.0%,In Stock,H J Heinz Co Ireland Ltd,Check out our tomato ketchup recipes at Heinz.co.uk,No
Catering Dry Goods,568847,5000157076649	,HEINZ BACONNAISE SAUCE,1X875MLS,NA,£2.95,0.0%,In Stock,H J Heinz Co Ireland Ltd,Heinz Smokey Baconnaise 880g,No
Catering Dry Goods,557749,105577490	,MAXWELL HOUSE COFFEE POWDER,1 x 750grm,NA,£13.99,0.0%,In Stock,Jacobs Douwe Egbert Profession,Maxwell House Mild Instant Coffee Tin 750g,No
Catering Dry Goods,124154,7613033694134	,NESCAFE ORIGINAL STICK PACK,1 x 360grm,NA,£15.49,0.0%,In Stock,Nescafé,Find out more about our products at https://www.nestleprofessional.co.uk/Or follow us on Facebook https://www.facebook.com/NestleProfessionalUK/YouTube https://www.youtube.com/c/nestleprofessionalukTwitter https://twitter.com/nestleprouk Instagramhttps://www.instagram.com/nestleprouk/,No
Catering Dry Goods,530420,5000243716657	,BRANSTON PICKLE,2 x 2.55kgm,NA,£17.65,0.0%,In Stock,Tennant & Ruttle,For other Branston delights visit www.bringoutthebranston.co.uk,No
Catering Dry Goods,564129,5000243716657	,BRANSTON PICKLE,1 x 2.55kgm,NA,£8.85,0.0%,In Stock,Tennant & Ruttle,For other Branston delights visit www.bringoutthebranston.co.uk,No
Catering Dry Goods,793528,8715700120089	,HEINZ PROFESSIONAL MAYONNAISE,1 x 10ltr,NA,£19.99,0.0%,In Stock,H J Heinz Co Ireland Ltd,NA,No
Catering Dry Goods,768775,8715700423630	,HEINZ MAYONNAISE,6X875MLS,NA,£17.55,0.0%,In Stock,H J Heinz Co Ireland Ltd,Heinz Mayonnaise 875ml,No
Catering Dry Goods,768776,8715700423630	,HEINZ MAYONNAISE,1X875MLS,NA,£2.95,0.0%,In Stock,H J Heinz Co Ireland Ltd,Heinz Mayonnaise 875ml,No
Catering Dry Goods,916505,49733000222	,CHOLULA HOT SAUCE ORIGINAL,1X1.89LTR,NA,£10.65,0.0%,In Stock,RH Amar Ltd,Cholula Hot Sauce Original 1.89L,No
Catering Dry Goods,916503,49733800112	,CHOLULA HOT SAUCE CHILLIGARLIC,1 x 150mls,NA,£1.65,0.0%,In Stock,RH Amar Ltd,Cholula Hot Sauce Chili Garlic 150ml,No
Catering Dry Goods,916504,49733000222	,CHOLULA HOT SAUCE ORIGINAL,4X1.89LTR,NA,£42.49,0.0%,In Stock,RH Amar Ltd,Cholula Hot Sauce Original 1.89L,No
Catering Dry Goods,916502,49733800112	,CHOLULA HOT SAUCE CHILLIGARLIC,12 x 150mls,NA,£19.39,0.0%,In Stock,RH Amar Ltd,Cholula Hot Sauce Chili Garlic 150ml,No
Catering Dry Goods,916501,49733830119	,CHOLULA HOT SAUCE CHIPOTLE,1 x 150mls,NA,£1.65,0.0%,In Stock,RH Amar Ltd,Cholula Hot Sauce Chipotle 150ml,No
Catering Dry Goods,916499,49733830119	,CHOLULA HOT SAUCE CHIPOTLE,12 x 150mls,NA,£19.39,0.0%,In Stock,RH Amar Ltd,Cholula Hot Sauce Chipotle 150ml,No
Catering Dry Goods,547242,5011515374734	,CHEFS PASS CHICKEN BOUILLION,1 x 1kgm,NA,£8.35,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,For recipe hints download our Chef's Pass app in the app store or follow us at: Twitter and Facebook @mychefspass,No
Catering Dry Goods,774482,8410066134083	,HEINZ TACO SAUCE,NA,NA,NA,0.0%,Out of Stock,H J Heinz Co Ireland Ltd,NA,No
Catering Dry Goods,774501,8410066134083	,HEINZ TACO SAUCE,NA,NA,NA,0.0%,Out of Stock,H J Heinz Co Ireland Ltd,NA,No
Catering Dry Goods,547240,5011515374734	,CHEFS PASS CHICKEN BOUILLION,2X1KGM,NA,£16.69,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,For recipe hints download our Chef's Pass app in the app store or follow us at: Twitter and Facebook @mychefspass,No
Catering Dry Goods,124153,7613033694158	,NESCAFE DECAF STICK,1 x 360grm,NA,£16.49,0.0%,In Stock,Nescafé,Join us at facebook.com/NescafeUKFollow us on Twitter  @nescafeukiCheck out our YouTube Channel at Youtube.com/user/UKNescafeVisit nescafe.co.uk/original,No
Catering Dry Goods,916498,49733000215	,CHOLULA HOT SAUCE ORIGINAL,1 x 150mls,NA,£1.65,0.0%,In Stock,RH Amar Ltd,Cholula Hot Sauce Original 150ml,No
Alcohol & Tobacco,708822,9300727007391	,WYNDHAM BIN 555 SHIRAZ,6 x 750mls,£9.65,£30.99,20.0%,In Stock,Wyndham Estate,George Wyndham Bin 555 Shiraz 750ml,No
Alcohol & Tobacco,794597,9300727508287	,JACOBS CREEK MERLOT,1 x 750mls,£6.39,£4.99,20.0%,In Stock,Jacob's Creek,Jacob's Creek Merlot Red Wine 75cl,No
Alcohol & Tobacco,791700,5000143906936	,STERLING RYO ESSENTIAL NI,5X30GRM,£13.65,£52.99,20.0%,In Stock,Gallaher Ltd,Sterling Rolling Tobacco Essential 30g,No
Alcohol & Tobacco,778835,5000435014295	,RIVERSTONE RYO NI,5X30GRM,£13.65,£53.39,20.0%,In Stock,Imperial Tobacco Ltd,Riverstone Easy Rolling Including Cigarette Papers 30g,No
Alcohol & Tobacco,794596,9300727508287	,JACOBS CREEK MERLOT,6 x 750mls,£6.39,£29.79,20.0%,In Stock,Jacob's Creek,Jacob's Creek Merlot Red Wine 75cl,No
Alcohol & Tobacco,792497,9300727488275	,JACOBS CREEK SHIRAZ,6 x 750mls,£8.19,£29.79,20.0%,In Stock,Jacob's Creek,Jacob's Creek Shiraz Red Wine 75cl,No
Alcohol & Tobacco,710293,9300727406538	,JACOBS CREEK CHARDONNAY,1 x 750mls,£6.39,£4.99,20.0%,In Stock,Jacob's Creek,Jacob's Creek Chardonnay White Wine 75cl,No
"Health, Beauty & Baby",445452,8710908881237	,RADOX HANDWASH MOISTURE,6 x 250mls,£1.29,£4.29,20.0%,In Stock,Unilever Ireland Personal Care,Radox Care & Moisturise Antibacterial Handwash 250 ml,No
"Health, Beauty & Baby",445451,8712561736862	,RADOX HANDWASH REPLENISH,6 x 250mls,£1.29,£4.29,20.0%,In Stock,Unilever Ireland Personal Care,Radox Protect & Replenish Antibacterial Handwash 250 ml,No
Alcohol & Tobacco,799239,5000143910636	,STERLING RYO ESSENTIAL NI,5 x 50grm,£22.35,£85.85,20.0%,In Stock,Gallaher Ltd,Sterling Rolling Tobacco Essential Pouches 5 x 50g,No
Alcohol & Tobacco,779300,5000433025828	,JPS PLAYERS RYO NI,5X30GRM,£13.65,£53.35,20.0%,In Stock,Imperial Tobacco Ltd,JPS Players Easy Rolling Including Cigarette Papers 30g,No
Frozen Goods,697299,5010069654583	,M/P FRZ CKN WING DRUMMETTE IQF,NA,NA,NA,0.0%,Out of Stock,NEIL MCMULLAN LTD,Moy Park Frozen Chicken Drumettes 1kg,No
Alcohol & Tobacco,916646,5000143970524	,MAYFIAR KS SILVER,10 x 20pk,£10.15,£80.59,20.0%,In Stock,Gallaher Ltd,Mayfair 20 Cigarettes Silver,No
Frozen Goods,916550,5029328010008	,MCWHINNEYS G/F PORK SAUSAGES,1X4.54LBR,NA,£19.99,0.0%,In Stock,McWhinneys,NA,No
Frozen Goods,673997,142198	,FAIRWAY FLOUR BAP FROZEN5IN/13CM,6X8PCE,NA,£7.49,0.0%,In Stock,KARA FOODSERVICE,NA,No
"Household, Cleaning & Pet Care",752858,5998749137543	,PEDIGREE DENTASTIX 1.95 MED 7STICK,5 x 180grm,£1.95,£4.69,20.0%,In Stock,Mars Pet Care UK Ltd,Pedigree Dentastix Daily Medium Dog Treats 7 x Dental  Sticks 180g PMP £1.95,No
"Household, Cleaning & Pet Care",775635,5900951287329	,WHISKAS 1+ CHICK DRY 1.25,6 x 340grm,£1.25,£4.59,20.0%,In Stock,Mars Pet Care UK Ltd,Whiskas Adult Complete Dry Cat Food Biscuits Chicken 340g PMP £1.25,No
"Household, Cleaning & Pet Care",752656,8001090671578	,BOLD LAVENDAR&CAMOMILE LIQUID 24WAS,4X840MLS,£4.69,£10.99,20.0%,In Stock,Interactive Irl Ltd,"Bold 2in1 Washing Liquid Lavender & Camomile 840ML, 24 Washes",No
"Household, Cleaning & Pet Care",746219,4015600949310	,ARIEL BIO POWDER,6X1.4KGM,£5.99,£21.99,20.0%,In Stock,Interactive Irl Ltd,Ariel Powder Original 1.43KG 22 Washes,No
"Household, Cleaning & Pet Care",791603,8001841894997	,DAZ POWDER 60W,3X3.9KGM,£8.99,£17.99,20.0%,In Stock,Interactive Irl Ltd,Daz Washing Powder Whites & Colours 3.9KG 60 Washes,No
"Household, Cleaning & Pet Care",746213,4015600888572	,ARIEL COLOUR POWDER,6X1.4KGM,£5.99,£21.99,20.0%,In Stock,Interactive Irl Ltd,Ariel Powder Colour 1.43KG 22 Washes,No
"Household, Cleaning & Pet Care",916572,8006540487570	,LENOR SPRING AWAKENING,8X1.1LTR,£2.79,£12.99,20.0%,In Stock,Interactive Irl Ltd,"Lenor Fabric Conditioner Spring Awakening 33 Washes, 1.155L",No
"Household, Cleaning & Pet Care",485564,4084500245020	,LENOR SUMMER BREEZE#,8X1.1LTR,£2.79,£12.99,20.0%,In Stock,Interactive Irl Ltd,"Lenor Fabric Conditioner Summer Breeze 1.19L, 34 Washes",No
"Household, Cleaning & Pet Care",775636,5900951287343	,WHISKAS 1+ TUNA DRY 1.25,6 x 340grm,£1.25,£4.59,20.0%,In Stock,Mars Pet Care UK Ltd,Whiskas Adult Complete Dry Cat Food Tuna 340g PMP £1.25,No
"Household, Cleaning & Pet Care",418578,5010394984577	,PEDIGREE DENTASTICK SMALL 7PK,10 x 110grm,£1.29,£7.39,20.0%,In Stock,Pedigree,Developed with our nutritionists and veterinarians at  The Waltham CentreWaltham™ a World Leading Authority on Pet  Care and NutritionTo find out more go to www.uk.pedigree.com,No
"Household, Cleaning & Pet Care",480860,4084500229624	,LENOR SPRING AWAKENING#,8X1.1LTR,£2.79,£12.99,20.0%,In Stock,Interactive Irl Ltd,"Lenor Fabric Conditioner Spring Awakening 1.19L, 34 Washes",No
"Household, Cleaning & Pet Care",916573,8006540487600	,LENOR SUMMER BREEZE,8X1.1LTR,£2.79,£12.99,20.0%,In Stock,Interactive Irl Ltd,"Lenor Fabric Conditioner Summer Breeze 33 Washes, 1.155L",No
"Confectionery, Crisps & Snacks",257623,5034660522782	,CADBURY BOOST,48X48.5GRM,£0.79,£21.99,20.0%,In Stock,Cadbury,BeTreatwise.netGet to know your treats1 bar = 12 % of  the RI* of kcal*% reference intake of an average adult (8400 kJ / 2000 kcal)Cocoa LifePartnering with Fairtrade Foundationwww.cocoalife.org,No
"Confectionery, Crisps & Snacks",774024,5000127730168	,R/K SQUARES CARAMEL CHOC,30 x 36grm,£0.79,£9.99,20.0%,In Stock,Kellogg's,Kellogg's Rice Krispies Squares Chocolate and Caramel  Cereal Bar 36g,No
"Confectionery, Crisps & Snacks",774025,5000127731257	,R/K SQUARES MARSHMALLOW,30X28GRM,£0.79,£9.99,20.0%,In Stock,Kellogg's,Kellogg's Rice Krispies Squares Cereal Bar Marshmallow 28g,No
"Confectionery, Crisps & Snacks",774023,5050083449031	,R/K SQUARES CHOCOLATE,30 x 36grm,£0.79,£9.99,20.0%,In Stock,Kellogg's,Kellogg's Rice Krispies Squares Cereal Bar Totally Chocolate 36g,No
"Confectionery, Crisps & Snacks",653090,5053827186674	,NUTRIGRAIN APPLE BAR,25X37GRM,£0.79,£9.99,0.0%,In Stock,Kelloggs,Kellogg's Nutri-Grain Bars Apple 37g,No
"Confectionery, Crisps & Snacks",653079,5053827186797	,NUTRIGRAIN STRAWBERRY BAR,25X37GRM,£0.79,£9.99,0.0%,In Stock,Kelloggs,Kellogg's Nutri-Grain Bars Strawberry 37g,No
"Confectionery, Crisps & Snacks",915441,7622201518035	,FRUIT SMOOTHIES 1.00,10X130GRM,£1.00,£5.49,20.0%,In Stock,Kraft Foods UK Ltd,BeTreatwise.netEnjoy as a part of a varied and balanced diet and healthy lifestyle.,No
"Confectionery, Crisps & Snacks",361680,50249480	,AFTER EIGHT MUNCHIES,36 x 60grm,£0.89,£16.49,20.0%,In Stock,After Eight,"Good to rememberEnjoying chocolate as part of a varied, balanced diet and a healthy lifestyle is one of life's little pleasures.Nestle® Cocoa Plan™Supporting farmers for better chocolate.Working with UTZ Certified to support cocoa farmers. Find out more at www.nestlecocoaplan.com",No
"Confectionery, Crisps & Snacks",555069,5000159504706	,MALTESER TEASER 60P,24 x 35grm,£0.60,£8.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Maltesers Teasers Chocolate £0.60 PMP Bar 35g,No
"Confectionery, Crisps & Snacks",179145,7622210106988	,MARVELLOUS POPPING CANDY,24 x 47grm,£0.79,£11.99,20.0%,In Stock,Cadbury,BeTreatwise.netCocoa LifePartnering with Fairtrade Foundationwww.cocoalife.org,No
"Confectionery, Crisps & Snacks",322660,7622300743703	,CADBURY DAIRY MILK CARAMEL BAR,48 x 45grm,£0.79,£21.99,20.0%,In Stock,Cadbury,BeTreatwise.netCocoa LifePartnering with Fairtrade Foundationwww.cocoalife.org,No
"Confectionery, Crisps & Snacks",497599,5000328338507	,WALKERS SMOKEY BACON CRISPS,32X32.GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, scan this code or visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",497596,5000328902616	,WALKERS PICKLED ONION CRISPS,32X32.GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",497588,5000328698823	,WALKERS CHEESE & ONION,32X32.GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",484089,5012159034459	,TAYTO WUSTER SAUCE,32X32.5GRM,£0.69,£14.39,20.0%,In Stock,Tayto Group Ltd,Heat to www.tayto.com to arrange a tour!,No
"Confectionery, Crisps & Snacks",484088,5012159034398	,TAYTO SALT & VINEGAR,32X37.GRM,£0.69,£14.39,20.0%,In Stock,Tayto Group Ltd,Head to www.tayto.com to arrange a tour!,No
"Confectionery, Crisps & Snacks",484087,5012159034510	,TAYTO ROAST CHICKEN,32X32.5GRM,£0.69,£14.39,20.0%,In Stock,Tayto Group Ltd,Head to www.tayto.com to arrange a tour!,No
"Confectionery, Crisps & Snacks",484086,5012159034411	,TAYTO PICKLED ONION,32X32.5GRM,£0.69,£14.39,20.0%,In Stock,Tayto Group Ltd,Head to www.tayto.com to arrange a tour!,No
"Confectionery, Crisps & Snacks",915525,5000237134085	,PENN PRETZELS S/CREAM&CHIVE 1.00,14X120GRM,£1.00,£9.69,0.0%,In Stock,KP Snacks Ltd,"Snacks can be enjoyed as part of a balanced diet and healthy lifestyle, including regular exercise.",No
"Confectionery, Crisps & Snacks",256142,5000328490557	,SENSATIONS THAI SWEET CHILLI,32 x 40grm,£0.89,£16.89,20.0%,In Stock,Walkers,Walkers Sensations Thai Sweet Chilli Crisps 40g,No
"Confectionery, Crisps & Snacks",484085,5012159034497	,TAYTO BEEF & ONION,32X32.GRM,£0.69,£14.39,20.0%,In Stock,Tayto Group Ltd,Head to www.tayto.com to arrange a tour!,No
"Confectionery, Crisps & Snacks",915743,5000267131	,SKIPS PRAWN COCKTAIL 1.00,16 x 45grm,£1.00,£10.79,0.0%,In Stock,KP Snacks Ltd,NA,No
"Confectionery, Crisps & Snacks",706418,37000312369	,PRINGLES SALT&VINEGAR,12 x 40grm,£0.95,£6.99,20.0%,In Stock,Kelloggs,"Pringles Salt & Vinegar Crisps Can, 40g",No
"Confectionery, Crisps & Snacks",916144,5099678303228	,HUNKY DORYS SALT&VINEGAR,12 x 135grm,£1.29,£9.99,20.0%,In Stock,Northern Snacks Ltd,Keep Ireland Beautiful,No
"Confectionery, Crisps & Snacks",915741,5000237134993	,DISCOS S&V 1.00,16X70GRM,£1.00,£10.99,0.0%,In Stock,KP Snacks Ltd,"Snacks can be enjoyed as part of a balanced diet and healthy lifestyle, including regular exercise.",No
"Confectionery, Crisps & Snacks",484081,5012159034336	,TAYTO CHEESE & ONION,48X32.5GRM,£0.69,£21.39,20.0%,In Stock,Tayto Group Ltd,Head to www.tayto.com to arrange a tour!,No
"Confectionery, Crisps & Snacks",916142,5099678303242	,HUNKY DORYS BUFFALO,12 x 135grm,£1.29,£9.99,20.0%,In Stock,Northern Snacks Ltd,Hunky Dorys Crinkle Cut Buffalo Flavour Potato Crisps  135g,No
"Confectionery, Crisps & Snacks",916143,5099678303211	,HUNKY DORYS CHEESE&ONION,12 x 135grm,£1.29,£9.99,20.0%,In Stock,Northern Snacks Ltd,Hunky Dorys Crinkle Cut Cheddar Cheese & Spring Onion  Flavour Potato Crisps 135g,No
"Confectionery, Crisps & Snacks",497600,5000328347790	,WALKERS READY SALTED CRISPS,32X32.GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",915180,5012159037917	,TAYTO SMOKY BACON,32X32.GRM,£0.69,£14.39,20.0%,In Stock,Tayto Group Ltd,Head to www.tayto.com to Arrange a Tour!,No
"Confectionery, Crisps & Snacks",915179,5012159037924	,TAYTO SPRING ONION,32X32.GRM,£0.69,£14.39,20.0%,In Stock,Tayto Group Ltd,Head to www.tayto.com to arrange a tour!,No
"Confectionery, Crisps & Snacks",562228,5000328329833	,WALKERS ROAST CHICKEN CRISPS,32X33GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",497605,5000328461755	,WALKERS SALT & VINEGAR CRISPS,32X32.GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",497606,5000328452579	,WALKERS PRAWN COCKTAIL CRISPS,32X32.GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",677728,5010478266483	,CRYSTAL FRUITS BAG,1 x 3kgm,£14.59,£7.99,20.0%,In Stock,Swizzels Matlow,Swizzels Crystal Fruits,No
"Confectionery, Crisps & Snacks",677682,5010478211575	,CRYSTAL MINTS BAG 3KG,2 x 3kgm,£14.59,£15.99,20.0%,In Stock,Swizzels Matlow,Swizzels Crystal Mints,No
