Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Frozen Goods,768456,148247	,M/E PLAIN PANINI,72X125GRM,NA,£12.49,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
"Health, Beauty & Baby",759396,5029053573281	,KLEENEX ORIGINAL EX LARGE,8X2PK,£2.49,£11.99,20.0%,In Stock,Kimberley Clark Ltd,www.kleenex.co.uk,No
"Confectionery, Crisps & Snacks",795963,5391532122724	,FULFIL CRISPY PEANUT PROTEIN BAR,18X37GRM,£1.69,£16.99,20.0%,In Stock,Richmond Marketing NI Ltd,Fulfil Crispy,No
"Confectionery, Crisps & Snacks",795964,5391532122731	,FULFIL CRISPY CARAMEL PROTEIN BAR,18X37GRM,£1.69,£16.99,20.0%,In Stock,Richmond Marketing NI Ltd,Fulfil Crispy Caramel Flavour Vitamin & Protein Bar 37g,No
"Health, Beauty & Baby",485704,8714789529479	,COLGATE TRIPLE ACTION TOOTHPASTE,12 x 100mls,£1.19,£8.29,20.0%,In Stock,SHS Distributors,"The triple-clean feeling of Colgate Triple Action Toothpaste will keep you smiling all day. It contains fluoride to help protect against cavities, helps remove surface stains for whiter teeth, and has a great mint taste for fresher breath.",No
"Health, Beauty & Baby",125579,8714789726229	,COLGATE PLAX SOFTMINT GREEN,6 x 250mls,£0.99,£3.99,20.0%,In Stock,Colgate,Colgate Plax FreshFX is our latest freshness technology delivering a pleasurable cooling sensation that lasts 10x  longer versus brushing alone. Colgate Plax is a clinically proven formula that effectively fights bacteria and provides  24/7 plaque protection**use twice daily,No
"Health, Beauty & Baby",125578,8714789726137	,COLGATE PLAX COOLMINT BLUE,6 x 250mls,£0.99,£3.99,20.0%,In Stock,Colgate,Colgate Plax FreshFX is our latest freshness technology delivering a pleasurable cooling sensation that lasts 10x  longer versus brushing alone. Colgate Plax is a clinically proven formula that effectively fights bacteria and provides  24/7 plaque protection**use twice daily,No
"Health, Beauty & Baby",754570,8714789924137	,COLGATE KIDS MAX CAVITY PROTECTION,12 x 50mls,£1.19,£8.59,20.0%,In Stock,SHS Distributors,"Give your child the chance to be cavity free with Colgate Maximum Cavity Protection Kids Toothpaste 50ml,  3+ years. It’s the first and only family toothpaste with unique Sugar Acid Neutraliser™, which directly fights sugar acids in plaque – the number-one cause of cavities. Colgate® Maximum Cavity Protection Toothpaste is clinically proven to fight tooth decay in two ways. First, its patented Sugar Acid Neutraliser™ helps to deactivate sugar acids before they can harm  teeth. Second, it contains fluoride and calcium to strengthen and remineralise enamel to help prevent cavity formation.",No
"Health, Beauty & Baby",504715,8710908178399	,A/BALSAM APPLE SHAMPOO,6 x 350mls,£1.19,£4.19,20.0%,In Stock,Unilever Ireland Personal Care,Alberto Balsam Juicy Green Apple Shampoo 350ml,No
"Health, Beauty & Baby",772792,5000209100513	,COLGATE CAVITY PUMP TOOTHPASTE,6 x 100mls,£1.99,£6.79,20.0%,In Stock,Colgate,Colgate Cavity Protection Toothpaste 100ml,No
"Health, Beauty & Baby",504704,8710908180811	,A/BALSAM RASPBERRY SHAMPOO,6 x 350mls,£1.19,£4.19,20.0%,In Stock,Unilever Ireland Personal Care,Alberto Balsam Sunkissed Raspberry Shampoo 350 ml,No
"Household, Cleaning & Pet Care",688256,8710447398166	,COMFORT SUNSHINE DAYS 36WASH,6X1.2LTR,£2.39,£8.79,20.0%,In Stock,Unilever Ireland Homecare,Comfort Sunshiny Days Fabric Conditioner 36 Wash 1.26  l,No
"Household, Cleaning & Pet Care",697709,8717163043400	,COMFORT BLUE,8 x 750mls,£1.59,£7.59,20.0%,In Stock,Comfort,Comfort Blue Skies Fabric Conditioner 21 Wash 750 ml,No
"Household, Cleaning & Pet Care",718334,8717163044278	,COMFORT PURE,8 x 750mls,£1.59,£7.59,20.0%,In Stock,Comfort,Comfort Pure Fabric Conditioner 21 Wash 750 ml,No
"Health, Beauty & Baby",546428,5000231035142	,RADOX SHOWER REFRESH,6 x 250mls,£1.29,£4.29,20.0%,In Stock,Unilever Ireland Personal Care,Radox Feel Refreshed Shower Gel 250 ml,No
"Health, Beauty & Baby",453399,8710847950230	,RADOX BATH BLISSFUL,6 x 500mls,£1.29,£4.29,20.0%,In Stock,Unilever Ireland Personal Care,Radox Feel Blissful Bath Soak 500 ml,No
Soft Drinks,786661,5060608749362	,BPM SOUR TWIST 1.15,24 x 500mls,£1.15,£12.99,20.0%,In Stock,Coca Cola HBC Northern Ireland,NA,No
"Health, Beauty & Baby",515664,8710908379819	,RADOX SHOWER FEEL READY,6 x 250mls,£1.29,£4.29,20.0%,In Stock,Unilever Ireland Personal Care,Radox Feel Ready Shower Gel 250 ml,No
"Health, Beauty & Baby",546418,5000231049927	,RADOX SHOWER FEEL AWAKE,6 x 250mls,£1.29,£4.29,20.0%,In Stock,Radox,Radox Feel Awake 2-in-1 Shower Gel & Shampoo 250 ml,No
"Health, Beauty & Baby",453376,8710847950247	,RADOX BATH HEAVENLY,6 x 500mls,£1.29,£4.29,20.0%,In Stock,Unilever Ireland Personal Care,Radox Feel Heavenly Bath Soak 500 ml,No
"Health, Beauty & Baby",445451,8712561736862	,RADOX HANDWASH REPLENISH,6 x 250mls,£1.29,£4.29,20.0%,In Stock,Unilever Ireland Personal Care,Radox Protect & Replenish Antibacterial Handwash 250 ml,No
"Health, Beauty & Baby",445452,8710908881237	,RADOX HANDWASH MOISTURE,6 x 250mls,£1.29,£4.29,20.0%,In Stock,Unilever Ireland Personal Care,Radox Care & Moisturise Antibacterial Handwash 250 ml,No
"Health, Beauty & Baby",405507,8711700943536	,RADOX SHOWER FEEL UPLFTED,6 x 250mls,£1.29,£4.29,20.0%,In Stock,Radox,Radox Feel Uplifted Shower Gel 250 ml,No
"Health, Beauty & Baby",370590,8717644011843	,VASELINE ALOE VERA DEODORANT,6 x 150mls,£1.29,£4.39,20.0%,In Stock,Unilever Ireland Personal Care,Vaseline  Aloe Sensitive Anti-perspirant Deodorant Aerosol 150ml,No
"Health, Beauty & Baby",181245,8714789763040	,SANEX SHOWER MOISTURISING,NA,NA,NA,20.0%,Out of Stock,Sanex,"Reveal healthy, moisturised and soft-feeling skin with Sanex Dermo Moisturising Shower Gel. This gentle body wash  is developed for normal to dry skin and is enriched with dermo oils to help restore the skin’s own natural moisture balance. While this body wash gently cleanses and hydrates the skin, it also helps to restore your skin's natural pH with a  unique formula.",No
"Confectionery, Crisps & Snacks",750820,5000237121252	,MC COYS SALT & VINEGAR,26X47GRM,£0.89,£11.99,20.0%,In Stock,KP Snacks Ltd,"Snacks can be enjoyed as part of a balanced diet and healthy lifestyle, including regular exercise.",No
Soft Drinks,115728,87177749	,7UP FREE CANS,24 x 330mls,£0.69,£6.99,20.0%,In Stock,7UP,7UP Free Lemon & Lime Can 24 x 330ml,No
"Confectionery, Crisps & Snacks",775281,5000237134962	,MC COYS FIREPIT BBQ RIBS,26X45GRM,£0.89,£11.99,20.0%,In Stock,KP Snacks Ltd,"Snacks can be enjoyed as part of a balanced diet and healthy lifestyle, including regular exercise.The Hundred Official Team PartnerDiscover Cricket, Get Activethehundred.com",No
"Confectionery, Crisps & Snacks",752188,5000237121276	,MC COYS CHEDDAR & ONION,26X47GRM,£0.89,£11.99,20.0%,In Stock,KP Snacks Ltd,"Snacks can be enjoyed as part of a balanced diet and healthy lifestyle, including regular exercise.",No
"Confectionery, Crisps & Snacks",750821,5000237121313	,MC COYS THAI SWEET CHICKEN,26X47GRM,£0.89,£11.99,20.0%,In Stock,KP Snacks Ltd,"Snacks can be enjoyed as part of a balanced diet and healthy lifestyle, including regular exercise.mccoys.co.ukFacebook/",No
"Confectionery, Crisps & Snacks",683230,5411011082407	,FRISIA VAMPIRE TEETH,1 x 1.1kgm,NA,£5.69,20.0%,In Stock,J & T Enterprises Ltd,Frisia Vampire Teeth 1.15kg,No
"Confectionery, Crisps & Snacks",750817,5000237121238	,MC COYS FLAME GRILLED CRISPS,26X47GRM,£0.89,£11.99,20.0%,In Stock,KP Snacks Ltd,"Snacks can be enjoyed as part of a balanced diet and healthy lifestyle, including regular exercise.mccoys.co.ukFacebook/mccoyscrisps",No
"Confectionery, Crisps & Snacks",779445,5000328262833	,QUAVERS SALT & VINEGAR 6PK,20X16GRM,£1.59,£19.99,20.0%,In Stock,Walkers Ltd,Walkers Quavers Salt & Vinegar Multipack Snacks 6 x 16g,No
Soft Drinks,740665,5029396738576	,FENTIMANS ROSE LEMONADE,12X275MLS,£1.49,£11.30,20.0%,In Stock,TENNENTS NI LTD,For more information visit www.fentimans.com,No
Soft Drinks,697389,5029396222334	,FENTIMANS GINGER BEER GLASS BOTTLE,12X275MLS,£1.49,£11.30,20.0%,In Stock,TENNENTS NI LTD,For more information visit www.fentimans.com.,No
"Confectionery, Crisps & Snacks",776002,5000237125137	,KP DRY ROAST 1.00,16X65GRM,£1.00,£7.99,20.0%,In Stock,KP Snacks Ltd,"Snacks can be enjoyed as part of a balanced diet and healthy lifestyle, including regular exercise.",No
"Confectionery, Crisps & Snacks",796839,5022374054187	,FOREST FEAST CHOC PEANUTS,24 x 150grm,£1.99,£29.99,20.0%,In Stock,KESTREL FOODS LTD,NA,No
"Confectionery, Crisps & Snacks",551288,5000328809731	,WALKERS WORCESTER SAUCE CRISPS,32X33GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",796819,5022374054163	,FOREST FEAST ROAST PEANUT IN SHELLS,24 x 140grm,£1.49,£22.59,20.0%,In Stock,KESTREL FOODS LTD,NA,No
"Confectionery, Crisps & Snacks",796689,5022374054132	,FOREST FEAST PEANUTS IN SHELLS,24 x 140grm,£1.00,£17.99,0.0%,In Stock,KESTREL FOODS LTD,NA,No
"Confectionery, Crisps & Snacks",796849,5022374053449	,FOREST FEAST BONFIRE BBQMIX,12 x 150grm,£1.99,£14.99,20.0%,In Stock,KESTREL FOODS LTD,NA,No
"Confectionery, Crisps & Snacks",562228,5000328329833	,WALKERS ROAST CHICKEN CRISPS,32X33GRM,£0.69,£13.49,20.0%,In Stock,Walkers,"To find out more about how we care for our spuds and our planet, visit www.walkers.co.uk/sustainability",No
"Confectionery, Crisps & Snacks",796633,5022374054200	,FOREST FEAST YOGHURT RAISINS,24 x 150grm,£1.99,£29.99,20.0%,In Stock,KESTREL FOODS LTD,NA,No
"Confectionery, Crisps & Snacks",796519,5022374035643	,FOREST FEAST PEANUTS IN SHELL,18 x 300grm,£1.99,£26.99,0.0%,In Stock,KESTREL FOODS LTD,NA,No
"Confectionery, Crisps & Snacks",784709,5022374022131	,FOREST FEAST CHOC BRAZILS,12 x 130grm,£1.75,£13.49,20.0%,In Stock,KESTREL FOODS LTD,Find us on Facebook and Twitter,No
"Confectionery, Crisps & Snacks",784706,5022374027457	,FOREST FEAST CHOC RAISINS,12 x 200grm,£1.75,£13.19,20.0%,In Stock,KESTREL FOODS LTD,Forest Feast Chocolate Raisins 200g,No
"Confectionery, Crisps & Snacks",330690,50159086	,LOCKETS HONEY & LEMON,20X43GRM,£0.69,£6.99,20.0%,In Stock,Lockets,Lockets Honey & Lemon Cough Sweet Lozenges 41g,No
"Confectionery, Crisps & Snacks",330688,40111377	,LOCKETS EXTRA STRONG,20X43GRM,£0.69,£6.99,20.0%,In Stock,Lockets,Lockets Extra Strong Cough Sweet Lozenges 41g,No
"Confectionery, Crisps & Snacks",126726,5010511021130	,WHAM CHEW BARS ORIG,50 x 25grm,£0.25,£6.99,20.0%,In Stock,Wham,"Find us on Facebook, Twitter and Instagram",No
"Confectionery, Crisps & Snacks",484907,49814521	,CHUPA CHUPS BEST OF TUBE,100 x 12grm,£0.25,£11.99,20.0%,In Stock,Chupa Chups,Chupa Chups The Best of Assorted Flavour Lollipops 100 x 12g (1200g),No
"Confectionery, Crisps & Snacks",779162,8000500328972	,TIC TAC FRUIT ADVENTURE #100,24 x 48grm,£1.29,£19.99,20.0%,In Stock,Ferrero Uk Ltd,For more information visit: www.tictac.com and check out our Instagram! @tictac.uk,No
"Confectionery, Crisps & Snacks",793956,5012035960797	,MAOAM BLOXX 50P,20X66GRM,£0.50,£5.69,20.0%,In Stock,Haribo Ltd,MAOAM Bloxx 3 x 22g (66g) 50p PM,No
"Confectionery, Crisps & Snacks",126725,5010511021130	,WHAM CHEW BARS ORIG,300 x 25grm,£0.25,£41.94,20.0%,In Stock,Wham,"Find us on Facebook, Twitter and Instagram",No
"Confectionery, Crisps & Snacks",779161,8000500216231	,TIC TAC CHERRYCOLA T100#,24 x 48grm,£1.29,£19.99,20.0%,In Stock,Ferrero Uk Ltd,For more information visit: www.tictac.com and check out our Instagram! @tictac.uk,No
"Confectionery, Crisps & Snacks",779172,8000500251263	,TIC TAC INTENSE MINT T10#,24 x 48grm,£1.29,£19.99,20.0%,In Stock,Ferrero Uk Ltd,For more information visit: www.tictac.com and check out our Instagram! @tictac.uk,No
"Confectionery, Crisps & Snacks",779163,4008400390529	,TIC TAC LIME & ORANGE T1#0,24 x 48grm,£1.29,£19.99,20.0%,In Stock,Tic Tac,For more information visit: www.tictac.com and check out our Instagram! @tictac.uk,No
"Confectionery, Crisps & Snacks",775587,84196675	,CHUPA CHUPS FRUIT DISPLAY BOX,100 x 12grm,£0.25,£11.99,20.0%,In Stock,Tennant & Ruttle,Chupa Chups Assorted Fruit Flavour Lollipops 100 x 12g (1200g),No
"Confectionery, Crisps & Snacks",442280,7622210307866	,CHOCOLATE ECLAIRS CARTON,6 x 420grm,£2.49,£7.99,20.0%,In Stock,Cadbury,Cadbury Eclairs Chocolate Carton 420g,No
"Confectionery, Crisps & Snacks",776006,5000237125090	,KP S&V 1.00,16X65GRM,£1.00,£7.99,20.0%,In Stock,KP Snacks Ltd,"Snacks can be enjoyed as part of a balanced diet and healthy lifestyle, including regular exercise.",No
"Confectionery, Crisps & Snacks",776005,5000237131213	,KP OSP 1.00,16X65GRM,£1.00,£7.99,20.0%,In Stock,KP Snacks Ltd,"Snacks can be enjoyed as part of a balanced diet and healthy lifestyle, including regular exercise.",No
"Confectionery, Crisps & Snacks",330671,5023274045886	,BARRATT DIP DAB,50X23GRM,£0.55,£9.29,20.0%,In Stock,Candyland,"Find us on Facebook, Twitter and Instagram",No
"Confectionery, Crisps & Snacks",408693,5010478481039	,SWIZZELS LOVE HEART LIPSTICKS,360X1PK,£0.12,£27.24,20.0%,In Stock,Swizzels,NA,No
"Confectionery, Crisps & Snacks",283223,87108262	,MENTOS MIXED FRUIT ROLL,40 x 38grm,£0.59,£10.99,20.0%,In Stock,Mentos,Snap a shot of you sharing a roll and tag us for a chance to Win great prizes for,No
"Confectionery, Crisps & Snacks",574622,5023274015063	,BARRATT SHERBET FOUNTAIN,48 x 25grm,£0.55,£9.29,20.0%,In Stock,Rob Roberts NI Ltd,Barratt Sherbet Fountain 25g,No
"Confectionery, Crisps & Snacks",753150,5010511473687	,BARRATT FLUMPS TWISTS,50 x 20grm,£0.30,£6.99,20.0%,In Stock,Candy Land,Barratt Flumps 20g,No
"Confectionery, Crisps & Snacks",745811,5023274045640	,BARRATT REFRESHER ROLL,48 x 36grm,£0.55,£8.69,20.0%,In Stock,Rob Roberts NI Ltd,Barratt Refreshers 34g,No
"Confectionery, Crisps & Snacks",650469,5012035954352	,HARIBO RHUB& CUST ZING 50P,20X60GRM,£0.50,£5.69,20.0%,In Stock,Haribo Ltd,HARIBO Rhubarb & Custard Z!NG Bag 70g 50p PM,No
"Confectionery, Crisps & Snacks",408694,5010478481039	,SWIZZELS LOVE HEART LIPSTICKS,60X1PK,£0.12,£4.59,20.0%,In Stock,Swizzels,Swizzels Love Hearts Lipstick,No
"Confectionery, Crisps & Snacks",335690,87108040	,MENTOS SPEARMINT#,40 x 38grm,£0.59,£10.99,20.0%,In Stock,Mentos,Snap a shot of you sharing a roll and tag us for a chance to Win great prizes for,No
"Confectionery, Crisps & Snacks",650460,5012035954642	,HARIBO L/JELLY MEN 50P,20X60GRM,£0.50,£5.69,20.0%,In Stock,Haribo Ltd,HARIBO Little Jelly Babies Bag 60g 50p PM,No
"Confectionery, Crisps & Snacks",526261,5020411112951	,TIC TAC MINT T100#,24 x 48grm,£1.29,£19.99,20.0%,In Stock,Tic Tac,For more information visit: www.tictac.com and check out our Instagram! @tictac.uk,No
Soft Drinks,764290,5054267009264	,RIBENA RASPBERRY 1.09,12 x 500mls,£1.09,£7.29,20.0%,In Stock,Suntory GB Ltd,Ribena Raspberry 12 x 500ml £1.09 or 2 for £2,No
"Confectionery, Crisps & Snacks",330669,5010511471751	,BARRATT NOUGAT STANDARD,40 x 35grm,£0.59,£6.99,20.0%,In Stock,Candyland,"Find us on Facebook, Twitter and Instagram",No
"Confectionery, Crisps & Snacks",511675,7613035220249	,KIT KAT 4F 3PK 1.00,20X125GRM,£1.00,£13.99,20.0%,In Stock,Nestle UK Ltd,"Join us at facebook.com/kitkatukShare your break with  #MyBreakCheck out our YouTube Channel at www.youtube.com/user/kitkatVisit www.kitkat.co.ukGood to remember, enjoying chocolate as part of a varied, balanced diet and a healthy lifestyle, is one of life's little pleasures",No
"Confectionery, Crisps & Snacks",684302,5010478227811	,REFRESHERS CHOOS 1.00,12 x 135grm,£1.00,£6.59,20.0%,In Stock,Swizzels Matlow,Facebook: is not available to under 13s,No
"Confectionery, Crisps & Snacks",142148,5010511471775	,BARRATTS NOUGAT 4PK,12 x 140grm,£1.00,£7.99,20.0%,In Stock,Barratt,"Find us on: Facebook, Twitter and Instagram",No
"Confectionery, Crisps & Snacks",778789,8723400778912	,FRUITELLA STRAWBERRY R/SUGAR,8X120GRM,£1.29,£5.49,20.0%,In Stock,Tennant & Ruttle,Fruit-tella Strawberry 120g,No
"Confectionery, Crisps & Snacks",768795,5010511477142	,JAMESONS RASPBERRY RUFFLE MULTI,14X130GRM,£1.00,£8.79,20.0%,In Stock,Rob Roberts NI Ltd,Ruffles Raspberry & Coconut Bar Multipack 5 x 26g,No
"Confectionery, Crisps & Snacks",773476,5034660522485	,CADBURYS CHOC ECLAIR 1.00,12 x 130grm,£1.00,£6.29,20.0%,In Stock,Cadbury,Cadbury Eclairs Classic £1 Chocolate Bag 130g,No
Soft Drinks,445241,5391521840400	,MIWADI ZERO APPLE & PEAR,12 x 1ltr,£1.49,£10.99,20.0%,In Stock,Britvic Northern Ireland,Supporting Diabetes™ IrelandGive Your Support www.diabetes.ie,No
"Confectionery, Crisps & Snacks",779156,7613287057082	,FRUIT PASTILLES 3PK 1.00,20X128GRM,£1.00,£13.99,20.0%,In Stock,Nestle UK Ltd,"Visit us at www.rowntrees.co.uk, www.facebook.com/rowntrees or www.twitter.com/rowntrees.",No
Soft Drinks,445240,5391521840417	,MIWADI ZERO APPLE & BERRY,12 x 1ltr,£1.49,£10.99,20.0%,In Stock,Britvic Northern Ireland,Enjoy as part of a varied and balanced diet and a healthy lifestyle.Supporting Diabetes™ IrelandGive Your Support  www.diabetes.ie,No
"Confectionery, Crisps & Snacks",766261,8003340098920	,LINDOR SALTED CARAMEL,1 x 200grm,£4.00,£3.19,20.0%,In Stock,Lindt & Sprungli Ltd,Lindt & Sprüngli Cocoa Farming Program,No
"Confectionery, Crisps & Snacks",750062,59944508	,SMARTIES PENGUIN,24X18.5GRM,£0.65,£8.49,20.0%,In Stock,Nestle UK Ltd,"Good to rememberEnjoying chocolate as part of a varied, balanced diet and a healthy lifestyle, is one of life's pleasures.Rainforest Alliance - People & Nature - Cocoa, Rainforest Alliance Certified™ cocoa. Find out more at ra.org",No
"Confectionery, Crisps & Snacks",620910,7622210722249	,CADBURY HEROES CARTON,6X290GRM,£3.29,£12.99,20.0%,In Stock,Kraft Foods UK Ltd,Cocoa LifePartnering with Fairtrade Foundationwww.cocoalife.orgVisit Cadbury WorldCall 0844 880 7667 for details,No
"Confectionery, Crisps & Snacks",766260,8003340098920	,LINDOR SALTED CARAMEL,8 x 200grm,£4.00,£21.99,20.0%,In Stock,Lindt & Sprungli Ltd,Lindt & Sprüngli Cocoa Farming Program,No
Soft Drinks,447752,5011020103539	,RIVER ROCK STILL,12 x 1ltr,£0.99,£6.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,Deep RiverRock Perform Still Water 1 Litre,No
Soft Drinks,764383,5391516883436	,TIPPERARY LEMON & LIME,6 x 1.5ltr,£1.35,£3.99,20.0%,In Stock,TENNENTS NI LTD,Tipperary Lemon & Lime Flavoured Still Water 1.5L,No
"Confectionery, Crisps & Snacks",750171,8003340095820	,LINDOR MINT CARTON,1 x 200grm,£4.00,£3.19,20.0%,In Stock,Lindt & Sprungli Ltd,Lindt & Sprüngli Cocoa Farming ProgramLindt Sustainabilitywww.lindt.com,No
Soft Drinks,764382,5391516883412	,TIPPERARY STRAWBERRY,6 x 1.5ltr,£1.35,£3.99,20.0%,In Stock,TENNENTS NI LTD,Tipperary Strawberry Flavoured Still Water 1.5L,No
"Confectionery, Crisps & Snacks",750170,8003340095820	,LINDOR MINT CARTON,8 x 200grm,£4.00,£21.99,20.0%,In Stock,Lindt & Sprungli Ltd,Lindt & Sprüngli Cocoa Farming ProgramLindt Sustainabilitywww.lindt.com,No
